"host","records_per_host","avg_bow_size","min_bow_size","max_bow_size"
"www.ub.edu",47,5357,2,34677
"dati.inail.it",47,2189,7,19831
"math.hws.edu",47,5,1,12
"www.indiana.edu",47,69,1,1467
"data.montgomerycountymd.gov",47,2591,22,29724
"alaska.usgs.gov",46,551,192,4773
"www.oneonta.edu",46,8,1,36
"koroibot-motion-database.humanoids.kit.edu",46,9470,25,20138
"cfb.unh.edu",46,8,4,12
"www.uthsc.edu",46,199,38,338
"api.echo.nasa.gov",46,1170,47,4529
"nautarch.tamu.edu",46,55,1,400
"rsg.pml.ac.uk",46,1399,2,11081
"openknowledge.worldbank.org",46,497,174,838
"firstmap.gis.delaware.gov",45,2366,10,6993
"ec.europa.eu",45,9548,32,61301
"floss.syr.edu",45,364,32,10083
"www.scar.org",45,52,35,56
"data.noe.gv.at",45,141,82,234
"www.math.lsu.edu",45,214,1,1611
"www.lidata.eu",45,3104,13,21830
"www.crowder.edu",45,92,7,1337
"mama.csad.ox.ac.uk",45,273,146,634
"swat.cse.lehigh.edu",45,411,45,9156
"fac-web.spsu.edu",44,41,1,1402
"www.nrel.gov",44,1579,5,6601
"pds.nasa.gov",44,2257,13,8949
"udct-data.aigid.jp",44,338,4,1522
"www.unthsc.edu",44,1241,15,7145
"archiveshub.ac.uk",44,1412,13,13596
"clear3.uconn.edu",44,734,26,6992
"mapserver.kansasgis.org",44,769,10,6992
"www.geosci-instrum-method-data-syst.net",44,1870,428,7245
"africaopendata.org",44,102,31,349
"bir.brandeis.edu",44,3786,14,22347
"dot.ca.gov",44,930,450,1474
"www.epa.gov",44,1597,3,8793
"www.rci.rutgers.edu",44,23,2,417
"www.ceint.duke.edu",43,225,46,460
"2014.accreditation.ncsu.edu",43,139,3,1054
"services.nationalmap.gov",43,1230,9,6991
"redwood.colorado.edu",43,191,4,702
"gis.drcog.org",43,38,8,462
"employees.oneonta.edu",43,21,1,273
"www.srh.noaa.gov",43,123,1,704
"www.osuokc.edu",43,9,1,12
"faculty.frostburg.edu",43,136,7,410
"www.csc.noaa.gov",43,156,7,796
"data.wa.gov",43,5798,26,85649
"www.royalholloway.ac.uk",43,618,120,4254
"www.lib.udel.edu",42,1004,319,6679
"projects.nceas.ucsb.edu",42,270,2,4796
"data.theeuropeanlibrary.org",42,30,30,30
"satepsanone.nesdis.noaa.gov",42,4745,169,16703
"www.cosac.eu",42,84,18,650
"ketai.aa.uic.edu",42,2677,29,17005
"hcc.edu",42,446,9,11828
"www.mysmu.edu",42,8,1,12
"webgis.wr.usgs.gov",42,3,2,4
"ftp.bmrb.wisc.edu",42,4417,55,22176
"cactus.eas.asu.edu",42,8,3,12
"vn.grnoc.iu.edu",41,1739,10,14612
"miles-gis-sandbox.northwestknowledge.net",41,180,7,591
"sero.nmfs.noaa.gov",41,1030,367,2707
"collections.nlm.nih.gov",41,516,6,705
"www.ecse.rpi.edu",41,8,2,38
"www.datanorthyorkshire.org",41,1833,35,27184
"www.nyu.edu",41,253,4,1741
"www.utsa.edu",41,7,1,46
"dataserver3.nccs.nasa.gov",41,125,114,134
"map.sdsu.edu",41,540,20,1061
"maps.indiana.edu",41,2741,1079,6112
"www.cs.cornell.edu",41,48,2,294
"www.york.cuny.edu",41,230,17,825
"data.amsterdamopendata.nl",41,144,64,448
"www.quake.utah.edu",41,6842,177,31401
"lar.archdesign.vt.edu",40,92,39,1694
"www.opendata.go.ke",40,341,31,1554
"open.uct.ac.za",40,3877,21,21783
"gisservice.mt.gov",40,302,2,1931
"upcommons.upc.edu",40,856,25,8154
"status.fsf.org",40,1684,33,5289
"ifp-08.ifp.uiuc.edu",40,7110,397,21598
"data.arcticatlas.org",40,320,9,2363
"gistmaps.itos.uga.edu",40,492,4,6993
"image.data.cma.gov.cn",40,15,3,69
"standaarden.overheid.nl",40,182,3,1734
"seznam.gov.cz",40,124,13,430
"www.ukoln.ac.uk",40,227,86,462
"data.gios.asu.edu",39,1374,416,5335
"www.mesonet.ttu.edu",39,5,4,12
"www.oclc.org",39,91,2,371
"www.artic.edu",39,71,71,71
"monitor.statnipokladna.cz",39,5446,4,29471
"www.csun.edu",39,100,2,354
"geodacenter.asu.edu",39,199,33,375
"cghub.ucsc.edu",39,948,61,5482
"www.extreme.indiana.edu",39,66,2,375
"faculty.nps.edu",38,12,1,42
"publicdata.eu",38,200,30,1180
"bnrc.berkeley.edu",38,39,38,40
"data.satapps.org",38,674,284,947
"www.comet.ucar.edu",38,349,5,1132
"www.albany.edu",38,573,1,5013
"noise.discomap.eea.europa.eu",38,705,72,7010
"web.mit.edu",38,118,1,2467
"fwf.ag.utk.edu",38,8,1,12
"www.stoa.org",38,773,81,5311
"fermi.gsfc.nasa.gov",38,137,4,3275
"starbrite.jpl.nasa.gov",38,2083,13,8822
"mirror.lug.udel.edu",37,2036,5,7580
"www.miracosta.edu",37,12,2,136
"swehb.nasa.gov",37,50,1,104
"onlineqda.hud.ac.uk",37,11,9,11
"clio.columbia.edu",37,20,13,41
"www.pizan.lib.ed.ac.uk",37,8133,86,32051
"faculty.smcm.edu",37,4,1,12
"www.yale.edu",37,8,2,30
"data.hpa.gov.tw",36,101,10,175
"socialjustice.ccnmtl.columbia.edu",36,52,44,73
"www.ssec.wisc.edu",36,52,4,203
"www.engr.ucr.edu",36,8,2,12
"andrewsforest.oregonstate.edu",36,23,2,221
"www.sonoma.edu",36,46,2,1227
"www.ece.ucsb.edu",36,11,3,53
"www.stsci.edu",36,352,4,756
"www.pitt.edu",36,167,1,5449
"pubchem.ncbi.nlm.nih.gov",36,250,7,2570
"afrolib.afro.who.int",36,8,4,29
"www.cameron.edu",36,417,2,6665
"bio.discomap.eea.europa.eu",36,1956,131,7010
"www.ucl.ac.uk",36,949,9,4530
"yuekuo.tamu.edu",36,13,4,92
"homepages.rpi.edu",35,98,1,2017
"www.cs.virginia.edu",35,314,4,1948
"community.mis.temple.edu",35,22,22,22
"ppi.pds.nasa.gov",35,321,101,567
"web.stanford.edu",35,17,1,220
"data.lab.fiware.org",35,456,1,4615
"weather.msfc.nasa.gov",35,12,2,282
"gisdata.nrri.umn.edu",35,542,3,1730
"www-diva.eng.cam.ac.uk",35,23,18,23
"datainfoplus.stats.govt.nz",35,860,35,2400
"sce.uhcl.edu",35,8,4,12
"www.orphadata.org",35,10055,395,28532
"www.antarctica.ac.uk",34,12,12,12
"programs.iowadnr.gov",34,1097,10,6992
"www.rbsp-ect.lanl.gov",34,4127,218,17703
"www.geo.mtu.edu",34,47,1,392
"ocw.usu.edu",34,167,7,348
"pds-smallbodies.astro.umd.edu",34,311,42,1435
"www.nhc.noaa.gov",34,312,78,670
"gsics.eumetsat.int",34,690,115,2848
"datastore.unm.edu",34,563,6,5837
"www.fao.org",34,553,49,3574
"pacioos-mapserver2.ancl.hawaii.edu",34,1064,35,1671
"comp.uark.edu",33,87,4,381
"astro.uchicago.edu",33,108,25,258
"www.milligan.edu",33,133,12,1243
"www.vanderbilt.edu",33,267,2,894
"www.physics.rutgers.edu",33,13,1,162
"oiswww.eumetsat.int",33,541,476,607
"data.oregon.gov",33,5689,31,16856
"www.mrg.upf.edu",33,267,45,483
"www.wou.edu",33,301,4,5209
"www.unc.edu",33,34,1,885
"www.colorado.edu",33,16,2,109
"www.ssa.gov",33,280,9,411
"gis2.metc.state.mn.us",33,389,19,6994
"odin.jrc.ec.europa.eu",33,139,50,382
"www.ioos.noaa.gov",33,993,40,4355
"maps.arvada.org",33,1061,18,6992
"www.faculty.ucr.edu",33,3,1,12
"www.tsbvi.edu",32,52,50,53
"tempest.das.ucdavis.edu",32,11,4,40
"mmi.oregonstate.edu",32,97,34,440
"myweb.rollins.edu",32,4,2,10
"www.dcc.vccs.edu",32,9,3,12
"web.vtc.edu",32,494,2,4610
"gitlab.tubit.tu-berlin.de",32,24,2,77
"www.slac.stanford.edu",32,221,1,4532
"gisweb.unr.edu",32,99,10,738
"www.echo.nasa.gov",32,382,1,4908
"blue.utb.edu",32,4,4,6
"www.stat.lsu.edu",32,8,1,12
"www.pacificsciencecenter.org",32,56,55,56
"gisinfo.co.walworth.wi.us",32,1496,9,6994
"www.utm.edu",32,8,1,32
"statweb.calpoly.edu",32,9,4,40
"nicholas.duke.edu",32,7,2,12
"www.rose-hulman.edu",32,137,2,1923
"www.spase-group.org",32,18711,5,36373
"www.tdx.cat",32,981,170,2046
"faculty.olympic.edu",32,8,1,12
"discnrt1.gesdisc.eosdis.nasa.gov",31,33,17,88
"map.gsa.state.al.us",31,1711,9,7010
"www2.keck.hawaii.edu",31,8,4,12
"webgis.uwm.edu",31,113,5,419
"academic.regis.edu",31,169,28,390
"service.iris.edu",31,1693,30,19940
"origin.opc.ncep.noaa.gov",31,74,4,532
"www.cisn.org",31,1131,3,2226
"www.umsl.edu",31,17,2,308
"www.marine-geo.org",31,648,11,3258
"espanol.ninds.nih.gov.libproxy.lib.unc.edu",31,3335,19,12796
"www.languagesciences.cam.ac.uk",31,20,18,20
"data.ny.gov",31,3288,26,14625
"data.loire-atlantique.fr",31,949,5,7012
"gatton.uky.edu",31,8,4,14
"myspace.aamu.edu",30,10,1,52
"validator.openmobilealliance.org",30,444,117,1941
"modwebsrv.modaps.eosdis.nasa.gov",30,758,1,7027
"svn.apache.org",30,124,1,1095
"pages.towson.edu",30,25,2,473
"pie-lter.ecosystems.mbl.edu",30,1655,135,2918
"findingaids.folger.edu",30,10932,1101,42779
"fac.hsu.edu",30,87,4,321
"data.a2gov.org",30,1673,286,15827
"maps.york.gov.uk",30,469,10,6992
"www.cs.purdue.edu",30,13,1,48
"www.bco-dmo.org",30,844,318,4931
"www.gwu.edu",30,8,2,26
"www.ei.lehigh.edu",30,137,20,527
"www2.ca.uky.edu",30,92,1,562
"business.baylor.edu",30,7,1,12
"www.sofia.usgs.gov",30,1472,659,6267
"aura.abdn.ac.uk",30,2636,15,24858
"ch.ucpress.edu",30,36,30,56
"mynasadata.larc.nasa.gov",30,71,22,414
"math.sfsu.edu",30,8,3,12
"www.unidata.ucar.edu",30,303,2,1696
"abfm.ksc.nasa.gov",29,9,7,9
"www.admiralty.co.uk",29,357,297,369
"www.columbia.edu",29,7,1,30
"dc-mrg.english.ucsb.edu",29,115,44,234
"www.duc.auburn.edu",29,2077,804,4997
"php.indiana.edu",29,10,3,38
"grads.iges.org",29,8,2,28
"www.gsc-europa.eu",29,26,23,30
"irows.ucr.edu",29,20,1,194
"www.fishbase.org",29,1005,7,6806
"data.brla.gov",29,4220,25,25881
"www.uprm.edu",29,29,2,225
"ota.ox.ac.uk",29,15875,17,113988
"scholarworks.iupui.edu",29,463,17,1697
"data.nantes.fr",29,163,7,496
"sflwww.er.usgs.gov",29,1611,643,6267
"cci.drexel.edu",29,35,4,275
"volcanoes.usgs.gov",28,88,11,396
"www.mouseatlas.org",28,17,16,21
"ei.cornell.edu",28,5,4,16
"files.datapress.io",28,1601,46,21966
"www.uwosh.edu",28,611,1,11322
"www.bme.unc.edu",28,61,59,61
"www.psychol.cam.ac.uk",28,19,17,19
"nefsc.noaa.gov",28,2,2,2
"web.cs.wpi.edu",28,87,1,448
"www.nauticalcharts.noaa.gov",28,477,5,4990
"gis.ngdc.noaa.gov",28,806,11,7009
"dlynx.rhodes.edu",28,209,10,876
"www.seis.sc.edu",28,14,1,28
"www.haverford.edu",28,169,1,1973
"yum.stratuslab.eu",28,24,21,42
"tpwd.texas.gov",28,206,19,807
"test.discomap.eea.europa.eu",28,273,2,774
"vmr.bham.ac.uk",28,2716,172,8704
"rusc.uoc.edu",28,4894,17,62179
"pigeon.psy.tufts.edu",28,129,16,272
"jclass.umd.edu",28,8,4,12
"redmine.confine-project.eu",28,203,1,2133
"archiv.ub.uni-marburg.de",28,5334,24,47466
"gis.cdatribe-nsn.gov",28,1422,10,7008
"faculty.ucr.edu",28,76,1,205
"jdisc.columbia.edu",27,110,45,298
"www.teleurope.eu",27,1153,30,11001
"flyingv.ucsd.edu",27,2,2,4
"ranger.uta.edu",27,111,4,342
"collab.sam.pitt.edu",27,28,28,28
"www.math.rutgers.edu",27,401,1,1463
"www.salisbury.edu",27,22,2,180
"www.insideidaho.org",27,1806,342,4517
"www.willamette.edu",27,4,1,22
"ava.jpl.nasa.gov",27,4,4,6
"gis.fws.gov",27,2435,10,6992
"www.cs.unc.edu",27,10,2,95
"nepp.nasa.gov",27,8,3,12
"www.evl.uic.edu",27,29,1,673
"profiles.med.tufts.edu",27,334,19,2021
"legacy.jefferson.kctcs.edu",27,8,1,12
"www1.american.edu",27,25,2,164
"web.eng.fiu.edu",27,11,4,30
"www.opendata.provincia.roma.it",27,5906,12,24631
"umaine.edu",27,22,22,22
"basemap.nationalmap.gov",26,1034,40,6991
"krex.k-state.edu",26,473,12,1409
"www.maricopa.edu",26,8,3,12
"idhmc.tamu.edu",26,2150,335,8689
"armstrong.osc.edu",26,2065,4,10724
"soilcarboncenter.k-state.edu",26,2,1,6
"eosval.cr.usgs.gov",26,127,62,133
"www.europarl.europa.eu",26,4246,196,48064
"datatank.stad.gent",26,1250,4,2491
"www.isle.illinois.edu",26,1012,890,1072
"tropicaldatahub.org",26,543,319,1114
"www.nato.int",26,162,44,510
"www.emouseatlas.org",26,6365,16,21518
"www.mc.vanderbilt.edu",26,713,64,5313
"www.austincc.edu",26,11,1,43
"www.ischool.drexel.edu",26,8,4,12
"dspace.sunyconnect.suny.edu",26,271,8,1471
"www.math.unt.edu",26,8,1,12
"wis.wmo.int",26,499,194,3343
"www.cs.rutgers.edu",26,52,1,216
"www.cs.toronto.edu",26,744,4,14231
"www.ciis.edu",26,87,69,103
"mountainmeadows.unl.edu",26,3717,212,13909
"metadata.lumcon.edu",26,3174,126,6807
"dspace.mit.edu",26,630,11,1368
"www.envirobase.usgs.gov",25,1022,857,1666
"socwork.wisc.edu",25,109,37,373
"www.earth-time.org",25,225,16,1248
"www.engr.colostate.edu",25,11,1,36
"cseweb.ucsd.edu",25,76,2,410
"www.cs.scranton.edu",25,8,3,12
"129.138.12.30",25,1512,10,7005
"www.pewresearch.org",25,285,23,1576
"api.census.gov",25,13170,55,47252
"physics.valpo.edu",25,181,55,254
"datapoint.metoffice.gov.uk",25,402,335,511
"data.n-somerset.gov.uk",25,3027,5,21207
"www.rit.edu",25,241,4,3163
"www4.nau.edu",25,100,6,146
"jtsa.edu",25,40,10,351
"observer.gsfc.nasa.gov",25,658,595,732
"www.globalfood.cam.ac.uk",25,25,23,25
"data.linkedopendata.jp",25,206,16,1951
"theatre.arizona.edu",25,54,7,359
"www.ce.utexas.edu",25,10,1,86
"mango.ctegd.uga.edu",25,555,256,1262
"static.data.gouv.fr",25,3337,312,21400
"www.zoo.cam.ac.uk",25,21,16,22
"www.nlm.nih.gov.libproxy.lib.unc.edu",25,2151,8,44602
"www.cc.gatech.edu",24,9,2,22
"volcano.si.edu",24,134,79,176
"zakon.openrepublic.ru",24,64,3,123
"gis.charttools.noaa.gov",24,1400,13,7009
"www.chicagobooth.edu",24,195,109,242
"catalog.arizona.edu",24,4,4,4
"data.mo.gov",24,2003,31,15360
"cdaweb.gsfc.nasa.gov",24,448,21,6619
"euskadi.eus",24,11634,275,34872
"www.brightknowledge.org",24,1274,536,1611
"giannini.ucop.edu",24,10893,3921,22177
"www.ruf.rice.edu",24,15,1,112
"bcpw.bg.pw.edu.pl",24,476,6,2912
"www.polardata.ca",24,416,15,1009
"mw2.concord.org",24,44,43,44
"www.orgs.miamioh.edu",24,1842,596,5894
"www.earth-syst-sci-data-discuss.net",24,4322,839,13064
"sev.lternet.edu",24,392,56,3341
"community.dur.ac.uk",24,76,4,1609
"www.hist.cam.ac.uk",24,20,16,22
"www.uprh.edu",24,7,2,58
"www.phy.cam.ac.uk",24,19,17,22
"map.demac.udel.edu",24,1374,250,3164
"resource.sgu.se",24,702,252,1513
"www2.econ.iastate.edu",24,20,1,207
"data.yorkopendata.org",23,48,20,132
"elpo.stat.gov.rs",23,5217,239,46363
"galileoandeinstein.physics.virginia.edu",23,16,1,84
"disc.sci.gsfc.nasa.gov",23,833,134,1342
"www.reagan.utexas.edu",23,5,2,12
"pdic.tamu.edu",23,136,30,247
"www.uww.edu",23,51,22,202
"www.image.ucar.edu",23,265,130,474
"www.k-state.edu",23,314,4,1266
"www.cpsc.gov",23,2900,214,13878
"sos.noaa.gov",23,345,18,2342
"www.spc.int",23,6709,2,26461
"repository.ibss.org.ua",23,1170,26,12775
"scholarworks.iu.edu",23,357,8,1626
"arep.med.harvard.edu",23,14,2,118
"www.eas.uccs.edu",23,8,1,12
"research.eeescience.utoledo.edu",23,12,2,87
"hume.ucdavis.edu",23,131,40,256
"www.ncsu.edu",23,70,2,230
"ccat.sas.upenn.edu",23,8,4,12
"goabroad.umflint.edu",23,25,25,25
"hea-www.cfa.harvard.edu",23,36,2,131
"www.imsproject.org",23,604,121,3350
"www.sos.noaa.gov",23,345,18,2342
"www.unm.edu",23,9,1,68
"www.umiacs.umd.edu",23,82,2,1265
"www.neon.cornell.edu",23,206,74,414
"www.ronank12.edu",23,9,3,12
"jwilson.coe.uga.edu",23,12,1,58
"aberto.univem.edu.br",23,708,21,5503
"faculty.tcc.edu",23,8,4,12
"gisdata.mn.gov",23,298,82,500
"oregonstate.edu",23,59,3,117
"pubchem.ncbi.nlm.nih.gov.libproxy.lib.unc.edu",23,1433,11,14674
"www.math.wisc.edu",23,9,1,55
"webserver.lemoyne.edu",23,7,3,12
"ngdc.noaa.gov",23,353,5,1254
"www.cs.utexas.edu",23,1226,2,10977
"faculty.sunydutchess.edu",23,7,3,12
"schema.datacite.org",23,239,37,758
"it.dss.ucdavis.edu",23,19,19,19
"svs.gsfc.nasa.gov",23,146,71,239
"data.daff.gov.au",23,2578,1211,5911
"www.gipuzkoairekia.eus",23,168,86,645
"www.cesm.ucar.edu",23,178,76,449
"users.ece.gatech.edu",23,13,1,60
"www.ohr.wisc.edu",22,6,1,12
"www.wcupa.edu",22,19,6,20
"www.cems.uvm.edu",22,113,1,252
"data.code4sa.org",22,1428,31,10174
"redbuttecreek.utah.edu",22,1114,18,4165
"www.umich.edu",22,10,2,26
"www.youtube.com",22,20,15,32
"mygeohub.org",22,32,30,37
"www.african.cam.ac.uk",22,23,23,23
"geo.data.linz.gv.at",22,1928,134,6995
"www.engr.psu.edu",22,112,4,336
"tnmap.tn.gov",22,219,40,850
"webspace.ship.edu",22,9,1,55
"cips.colorado.edu",22,7468,1687,21712
"www.econ.yale.edu",22,8,2,12
"csc.noaa.gov",22,94,10,817
"www.jic.ac.uk",22,9,4,12
"trec.nist.gov",22,2188,121,4578
"dataforjapan.org",22,225,16,1948
"www.udel.edu",22,16,2,170
"hdsc.nws.noaa.gov",22,1139,919,2092
"wildfire.cr.usgs.gov",22,1440,15,6992
"smartech.gatech.edu",22,1016,24,2949
"faculty.nwacc.edu",22,4,2,6
"www.co.teton.id.us",22,73,10,239
"www.openaccessrepository.it",22,167,35,194
"inst.eecs.berkeley.edu",22,186,4,1419
"www.northeastern.edu",22,105,90,130
"www.otc.edu",22,9,6,12
"www.streamnet.org",22,1476,340,3692
"nursingapps.nursing.vanderbilt.edu",21,7,1,12
"www.tei-c.org",21,287,23,1022
"www.lsc-group.phys.uwm.edu",21,2847,4,30154
"www.ldeo.columbia.edu",21,35,2,482
"www.dlib.indiana.edu",21,3718,89,20159
"catalyst.library.jhu.edu",21,434,15,2460
"pages.pomona.edu",21,8,2,12
"as.ucpress.edu",21,78,34,114
"www.ece.lsu.edu",21,188,4,336
"www.publicacions.ub.edu",21,45,1,263
"alpha.math.uga.edu",21,2,1,4
"users.ox.ac.uk",21,7,2,12
"www.owlnet.rice.edu",21,86,2,1218
"geb.uni-giessen.de",21,7299,34,88938
"www.lehigh.edu",21,31,4,40
"web.lemoyne.edu",21,11,2,77
"www.sams.ac.uk",21,449,180,662
"soddev.umkc.edu",21,148,54,504
"www.bae.uky.edu",21,170,2,321
"www.pierce.ctc.edu",21,4,2,12
"data.gov.sk",21,110,46,303
"ecosystemdata.ices.dk",21,653,14,2008
"www.arch.cam.ac.uk",21,19,16,22
"serc.fiu.edu",21,9,4,12
"nrli.ifas.ufl.edu",21,182,62,557
"www.federalregister.gov",21,1739,283,4211
"web.pdx.edu",21,12,1,50
"www.mpsr.sk",21,10313,35,110845
"iupac.pole-ether.fr",21,1367,577,2352
"www.tc.umn.edu",21,9,2,40
"spatialreference.org",21,23,10,34
"xbrl.sec.gov",20,1447,34,5520
"www.cs.uaf.edu",20,111,1,376
"ww2.chemistry.gatech.edu",20,60,4,105
"www.u.arizona.edu",20,10,2,46
"www.econ.ucdavis.edu",20,7,1,12
"fhdo.opus.hbz-nrw.de",20,85,27,583
"gis.hawaii.gov",20,26,10,322
"www.uwgb.edu",20,7,2,12
"ww2.sccsc.edu",20,6,5,8
"arno.uvt.nl",20,8497,26,31105
"www.divinity.cam.ac.uk",20,22,22,22
"maps.devotes.eu",20,291,21,569
"eerscmap.usgs.gov",20,312,58,809
"www.ecs.umass.edu",20,15,1,98
"pcrafi.spc.int",20,644,21,2008
"gorilla.ites.upr.edu",20,3302,2093,5365
"www2.bakersfieldcollege.edu",20,5,4,8
"www.cee.mtu.edu",20,18,2,108
"apply.learningabroad.utah.edu",20,27,27,27
"www.nhtsa.gov",20,210,3,1181
"www.phar.cam.ac.uk",20,20,17,22
"www.physics.purdue.edu",20,225,2,358
"www.geocommunicator.gov",20,2388,6,6377
"daviz.eionet.europa.eu",20,3901,13,34411
"sbl.web.arizona.edu",20,9,4,14
"www.infectiousdisease.cam.ac.uk",20,166,23,806
"www.niaid.nih.gov",20,947,789,1032
"mtweb.mtsu.edu",20,9,3,12
"www.nacme.org",20,35,34,37
"umbs.lsa.umich.edu",20,631,100,1419
"variety.wsu.edu",20,2,2,2
"www.cpcpara.ncep.noaa.gov",20,1536,11,13713
"www.csc.ncsu.edu",19,30,2,67
"www.byui.edu",19,302,15,2484
"ag.purdue.edu",19,721,487,855
"gee.cs.oswego.edu",19,2072,774,2273
"www.unicode.org",19,1303,2,2951
"data.kk.dk",19,113,46,240
"www.uwyo.edu",19,9,2,26
"data.ottawa.ca",19,467,19,6067
"services.geog.ksu.edu",19,568,42,6993
"scidok.sulb.uni-saarland.de",19,1367,27,9780
"bura.brunel.ac.uk",19,7703,1071,30014
"webservices.genouest.org",19,1353,994,2094
"webshares.northseattle.edu",19,8,2,12
"maps.norfolk.gov.uk",19,278,244,320
"www.nefsc.noaa.gov",19,229,2,3774
"echo.nasa.gov",19,689,1,4902
"faculty.maxwell.syr.edu",19,26,2,215
"citsci.syr.edu",19,131,43,253
"www.monroeccc.edu",19,2,2,2
"jogamp.org",19,57,46,75
"naip.giscenter.isu.edu",19,2440,22,7009
"neptune.nceas.ucsb.edu",19,820,555,1053
"datatank.gent.be",19,1145,9,9617
"efh-viewer.coas.oregonstate.edu",19,159,10,666
"psydok.sulb.uni-saarland.de",19,2586,25,20949
"data.stategrowth.tas.gov.au",19,91,27,188
"www.andrew.cmu.edu",19,19,1,128
"il.water.usgs.gov",19,9,4,30
"www.geology.wisc.edu",19,1435,4,7657
"www.stellarnet.eu",19,51,49,51
"mavdisk.mnsu.edu",19,20,1,50
"iwmw.ukoln.ac.uk",19,812,22,3164
"www.psfc.mit.edu",19,11,8,18
"startstudioarts.si.edu",19,771,30,7937
"data.ordnancesurvey.co.uk",19,182,68,793
"www.icesi.edu.co",19,8613,26,38476
"collections.britishart.yale.edu",19,1381,15,4953
"www.ncstatecollege.edu",19,56,2,260
"www.ietf.org",19,975,63,9943
"astro.physics.uiowa.edu",19,69,2,261
"www.pages.drexel.edu",19,16,2,122
"mgs.geology.wmich.edu",19,900,54,6992
"faculty.gvsu.edu",19,11,4,20
"entnem.ifas.ufl.edu",19,6,2,12
"www.research.psu.edu",19,555,17,1063
"www.hks.harvard.edu",19,7,2,14
"www.nsi.bg",18,1873,1090,4500
"ngamaps.geointapps.org",18,1130,10,7008
"groups.csail.mit.edu",18,220,14,454
"www.ll.mit.edu",18,350,8,3230
"www.polis.cam.ac.uk",18,23,19,25
"vlsstats.ifsttar.fr",18,472,4,5132
"www-bcf.usc.edu",18,8,2,34
"co2.jpl.nasa.gov",18,47,28,261
"www2.fiu.edu",18,15,2,132
"opendatacanarias.es",18,6407,77,37230
"spiff.rit.edu",18,1501,1025,2241
"www.cs.berkeley.edu",18,6,2,12
"www.kcet.org",18,2358,317,4598
"www.eng.auburn.edu",18,7,1,12
"datastori.es",18,31,22,35
"gamescrafters.berkeley.edu",18,342,101,868
"www.salforddataquay.uk",18,230,157,317
"pypi.python.org",18,739,17,5583
"www.salford.gov.uk",18,1335,409,5783
"www.veritas-project.eu",18,1189,536,2602
"www.ics.uci.edu",18,7,1,12
"www.orgs.ttu.edu",18,2,1,6
"europa.eu",18,2238,151,3961
"www.bme.ncsu.edu",18,61,61,61
"www.efmd.org",18,53,51,55
"nws.noaa.gov",18,444,1,2474
"data.c3.uts.edu.au",18,354,30,4287
"www.senate.gov",18,2224,26,10265
"see-math.math.tamu.edu",18,2250,899,6960
"dbis.ipd.kit.edu",18,621,441,820
"fresca.calstate.edu",18,550,164,3673
"ega.crg.eu",18,85,23,144
"sdsu-dspace.calstate.edu",18,142,29,462
"ww2.harford.edu",18,4,1,12
"data.abuledu.org",18,136,64,164
"www.uni.edu",18,10,2,42
"www.cdc.gov",18,344,10,1261
"www.pdx.edu",18,13,7,26
"www.maths.dur.ac.uk",18,1182,929,1896
"verc.enes.org",18,497,20,5530
"web.calstatela.edu",18,9,2,18
"ptl.sys.virginia.edu",18,130,2,270
"home.uchicago.edu",18,4,2,12
"api-test.echo.nasa.gov",18,1147,434,3502
"ils.unc.edu",18,203,10,456
"www.stat.berkeley.edu",18,197,2,338
"repo.grid.iu.edu",18,46,43,50
"testbed.echo.nasa.gov",18,1127,366,3502
"www.ceb.cam.ac.uk",18,23,19,24
"www.unco.edu",17,8,4,12
"www1.umn.edu",17,9,2,14
"www.psychometrics.cam.ac.uk",17,19,17,23
"home.southernct.edu",17,22,4,238
"www.imagemagick.org",17,501,4,2707
"campus-sas.csulb.edu",17,29,8,62
"jupiter.plymouth.edu",17,8,2,15
"www.wmich.edu",17,29,2,223
"uwf.edu",17,85,3,293
"web.gccaz.edu",17,7,1,12
"www.voservices.net",17,832,37,2049
"mrujs.mtroyal.ca",17,3119,23,22208
"www.niso.org",17,671,93,2708
"www.purdue.edu",17,1166,4,11329
"faculty.clinton.edu",17,9,4,12
"www.ehib.org",17,1162,674,1650
"www.ima.umn.edu",17,300,114,714
"www.astro.phy.cam.ac.uk",17,19,18,24
"www.uark.edu",17,8,2,12
"digitalarchive.wm.edu",17,61,9,385
"services.salford.gov.uk",17,1151,14,7237
"corn2.agron.iastate.edu",17,70,4,184
"www.jtsa.edu",17,25,10,57
"myocse.skidmore.edu",17,,,
"falcon-help.csx.cam.ac.uk",17,24,24,24
"math.wvu.edu",17,10,4,14
"geoservices.tamu.edu",17,487,2,1834
"faculty.harford.edu",17,8,2,12
"www.wwu.edu",17,6,1,12
"polisci.usca.edu",17,10,4,30
"gis.apfo.usda.gov",17,2025,9,6993
"cola.gmu.edu",17,9,4,18
"www.immunology.cam.ac.uk",17,23,18,23
"ssa.esac.esa.int",17,3786,20,51143
"www.asahq.org",17,560,9,3214
"hubofdata.ru",17,430,15,4469
"depthome.sunysuffolk.edu",17,9,4,12
"nowcoast.noaa.gov",16,436,2,2527
"www.pompeiiinpictures.eu",16,3,3,7
"earthobservatory.nasa.gov",16,500,2,2441
"ingmec.ual.es",16,138,39,1264
"www.nps.edu",16,333,70,1236
"dance.illinois.edu",16,36,36,37
"cmgm.stanford.edu",16,5,2,12
"zero.eng.ucmerced.edu",16,154,10,264
"www.sas.upenn.edu",16,7,2,24
