"response_id","age","protocol","num_nondigital","num_offline","num_online"
145420,"2015-01-01","ISO",0,0,0
145472,"2011-01-01","FGDC",0,1,0
145531,"","ISO",0,0,1
145605,"2014-01-01","FGDC",0,0,2
145658,"2003-01-01","FGDC",0,0,0
145710,"2012-01-01","FGDC",0,0,0
145730,"2006-01-01","FGDC",0,0,0
145774,"2013-01-01","FGDC",0,0,0
145787,"2013-01-01","FGDC",0,0,0
145832,"2012-01-01","ISO",0,0,1
145850,"2009-01-01","ISO",0,0,1
145886,"","ISO",0,0,1
145894,"2007-01-01","FGDC",0,0,3
145922,"2008-01-01","FGDC",0,1,0
145976,"1990-01-01","FGDC",0,0,3
145982,"2012-01-01","FGDC",0,0,0
145998,"","ISO",0,0,0
146103,"2006-01-01","FGDC",0,1,1
146105,"2008-01-01","FGDC",0,1,0
146124,"2013-01-01","ISO",0,0,3
146143,"2015-01-01","FGDC",0,0,0
146146,"2012-01-01","FGDC",0,0,0
146242,"2011-01-01","FGDC",0,0,4
146319,"2015-01-01","FGDC",0,0,0
146331,"2007-01-01","ISO",0,0,1
146395,"2003-01-01","FGDC",0,4,0
146416,"2015-01-01","FGDC",0,0,0
146535,"2015-01-01","ISO",0,0,3
146612,"2015-01-01","FGDC",0,0,0
146629,"2012-01-01","ISO",0,0,1
146668,"2015-01-01","FGDC",0,0,0
146672,"2013-01-01","FGDC",0,0,0
146721,"2014-01-01","FGDC",0,0,2
146727,"2014-01-01","FGDC",0,0,1
146821,"2012-01-01","FGDC",0,0,0
146853,"2013-01-01","ISO",0,0,1
146886,"","ISO",0,0,0
146933,"","ISO",0,0,1
146973,"2004-01-01","FGDC",0,0,3
146990,"","ISO",0,0,1
147119,"2007-01-01","FGDC",0,1,0
147169,"2015-01-01","FGDC",0,0,33
147274,"2014-01-01","ISO",0,0,2
147285,"2013-01-01","FGDC",0,0,3
147286,"2015-01-01","FGDC",0,0,1
147309,"2012-01-01","FGDC",0,0,0
147369,"2013-01-01","ISO",0,0,1
147423,"2012-01-01","ISO",0,0,1
147435,"2015-01-01","FGDC",0,0,0
147455,"2011-01-01","FGDC",0,0,1
147478,"2014-01-01","ISO",0,0,1
147579,"2014-01-01","ISO",0,0,5
147648,"2013-01-01","ISO",0,0,1
147676,"2014-01-01","ISO",0,0,10
147787,"2015-01-01","ISO",0,0,2
147806,"2012-01-01","FGDC",0,0,1
147821,"2014-01-01","ISO",0,0,0
147877,"2014-01-01","ISO",0,0,0
147914,"2014-01-01","ISO",0,0,1
148042,"2015-01-01","ISO",0,0,2
148059,"2014-01-01","FGDC",0,0,2
148077,"2007-01-01","FGDC",0,0,1
148129,"2010-01-01","FGDC",0,1,0
148212,"2013-01-01","ISO",0,0,1
148213,"2015-01-01","ISO",0,0,1
148285,"2010-01-01","FGDC",0,0,0
148322,"2015-01-01","ISO",0,0,11
148415,"","ISO",0,0,1
148429,"2006-01-01","FGDC",0,0,2
148430,"2015-01-01","FGDC",0,0,3
148732,"2015-01-01","ISO",0,0,2
148833,"2015-01-01","FGDC",0,0,0
148860,"2007-01-01","FGDC",0,0,0
148884,"2015-01-01","ISO",0,0,10
148955,"2009-01-01","ISO",0,0,1
149015,"2014-01-01","ISO",0,0,6
149137,"2015-01-01","FGDC",0,0,35
149248,"2011-01-01","FGDC",0,0,0
149331,"2014-01-01","ISO",0,0,2
149332,"2011-01-01","FGDC",0,0,0
149394,"2012-01-01","ISO",0,0,1
149410,"2012-01-01","FGDC",0,1,1
149413,"2015-01-01","ISO",0,0,2
149440,"2015-01-01","ISO",0,0,2
149441,"2013-01-01","ISO",0,0,1
149510,"2013-01-01","FGDC",0,0,0
149604,"2015-01-01","FGDC",0,0,0
149728,"2015-01-01","FGDC",0,0,0
149740,"2013-01-01","ISO",0,0,1
149795,"2015-01-01","ISO",0,0,1
149813,"","ISO",0,0,1
149865,"2015-01-01","ISO",0,0,2
149908,"","ISO",0,0,1
149936,"2011-01-01","FGDC",0,0,0
149943,"2015-01-01","ISO",0,0,2
149955,"","ISO",0,0,2
150082,"2009-01-01","FGDC",0,0,0
150130,"2015-01-01","FGDC",0,0,0
150149,"2014-01-01","FGDC",0,0,2
150233,"2014-01-01","FGDC",0,0,3
150264,"","ISO",0,0,1
150346,"2014-01-01","FGDC",0,0,3
150392,"2003-01-01","FGDC",0,0,1
150407,"2014-01-01","ISO",0,0,10
150461,"2014-01-01","ISO",0,0,1
150539,"2010-01-01","FGDC",0,1,0
150591,"2013-01-01","ISO",0,0,1
150617,"2015-01-01","FGDC",0,0,0
150670,"","ISO",0,0,1
150672,"2015-01-01","FGDC",0,0,0
150720,"2012-01-01","FGDC",0,1,0
150727,"2012-01-01","ISO",0,0,1
150795,"","ISO",0,0,1
150872,"1998-01-01","FGDC",0,0,0
150879,"","ISO",0,0,0
150894,"2011-01-01","FGDC",0,0,0
150926,"2015-01-01","FGDC",0,0,0
150981,"","ISO",0,0,2
151076,"2008-01-01","FGDC",0,0,3
151187,"2015-01-01","ISO",0,0,3
151199,"2014-01-01","ISO",0,0,4
151244,"2015-01-01","FGDC",0,0,1
151273,"2012-01-01","FGDC",0,0,0
151386,"1998-01-01","FGDC",0,0,0
151477,"2012-01-01","FGDC",0,0,0
151679,"2015-01-01","ISO",0,0,2
151710,"2015-01-01","FGDC",0,0,0
151763,"2014-01-01","ISO",0,0,0
151789,"2015-01-01","FGDC",0,0,0
151814,"2012-01-01","ISO",0,0,0
151857,"2011-01-01","FGDC",0,0,3
151866,"2010-01-01","FGDC",0,1,0
151903,"2010-01-01","FGDC",0,0,0
151928,"2015-01-01","ISO",0,0,2
151946,"2014-01-01","FGDC",0,0,0
152103,"2013-01-01","FGDC",0,0,0
152220,"2014-01-01","ISO",0,0,26
152241,"2013-01-01","ISO",0,0,1
152277,"2012-01-01","FGDC",0,0,0
152292,"2009-01-01","ISO",0,0,3
152369,"2009-01-01","FGDC",0,1,1
152388,"","ISO",0,0,0
152392,"2012-01-01","FGDC",0,0,0
152419,"2014-01-01","ISO",0,0,1
152511,"2015-01-01","ISO",0,0,2
152599,"2012-01-01","FGDC",0,0,3
152615,"","ISO",0,0,1
152667,"2012-01-01","ISO",0,0,0
152700,"2014-01-01","ISO",0,0,10
152773,"2008-01-01","FGDC",0,0,0
152781,"1977-01-01","FGDC",0,0,3
152962,"","ISO",0,0,1
152967,"2012-01-01","FGDC",0,0,0
152992,"2015-01-01","ISO",0,0,1
153002,"2012-01-01","FGDC",0,0,0
153005,"2014-01-01","ISO",0,0,4
153216,"","ISO",0,0,8
153217,"","ISO",0,0,1
153228,"2005-01-01","ISO",0,0,1
153233,"2014-01-01","FGDC",0,0,0
153280,"","ISO",0,0,2
153476,"2003-01-01","ISO",0,0,1
153554,"","ISO",0,0,2
153566,"2006-01-01","ISO",0,0,2
165083,"2014-01-01","ISO",0,0,5
153585,"2014-01-01","ISO",0,0,4
153661,"1986-01-01","FGDC",0,0,3
153702,"2014-01-01","ISO",0,0,1
153820,"2013-01-01","FGDC",0,0,0
153865,"2012-01-01","FGDC",0,0,0
154011,"2015-01-01","FGDC",0,0,7
154047,"2012-01-01","ISO",0,0,1
154104,"2015-01-01","ISO",0,0,2
154120,"2015-01-01","ISO",0,0,3
154317,"2010-01-01","FGDC",0,0,0
154334,"2012-01-01","ISO",0,0,0
154405,"","ISO",0,0,1
154450,"2013-01-01","ISO",0,0,1
154469,"2012-01-01","ISO",0,0,0
154529,"2014-01-01","ISO",0,0,4
154548,"2015-01-01","FGDC",0,0,33
154555,"2005-01-01","ISO",0,0,1
154558,"2014-01-01","FGDC",0,0,3
154563,"2015-01-01","ISO",0,0,3
154677,"2011-01-01","FGDC",0,0,0
154757,"2012-01-01","FGDC",0,0,0
154824,"2015-01-01","ISO",0,0,2
154846,"2010-01-01","FGDC",0,0,3
154884,"2013-01-01","ISO",0,0,1
154981,"2006-01-01","FGDC",0,1,1
155029,"","ISO",0,0,1
155034,"2008-01-01","FGDC",0,0,1
155036,"2007-01-01","FGDC",0,0,0
155104,"2015-01-01","FGDC",0,0,8
155107,"2004-01-01","FGDC",0,1,0
155118,"","ISO",0,0,2
155134,"2014-01-01","FGDC",0,1,2
155228,"","ISO",0,0,1
155315,"2012-01-01","ISO",0,0,4
155406,"2008-01-01","FGDC",0,1,0
155509,"2012-01-01","FGDC",0,0,0
155592,"2007-01-01","FGDC",0,0,0
155615,"2015-01-01","FGDC",0,0,0
155667,"2015-01-01","ISO",0,0,2
155688,"2008-01-01","FGDC",0,0,1
155720,"2009-01-01","FGDC",0,0,0
155911,"2015-01-01","FGDC",0,0,0
155971,"2015-01-01","ISO",0,0,1
156048,"2006-01-01","FGDC",0,0,3
156071,"2015-01-01","ISO",0,0,2
156159,"2015-01-01","ISO",0,0,2
156205,"1989-01-01","FGDC",0,0,3
156261,"2014-01-01","FGDC",0,1,1
156330,"2007-01-01","FGDC",0,0,3
156386,"2011-01-01","FGDC",0,0,1
156402,"2014-01-01","ISO",0,0,8
156457,"2015-01-01","FGDC",0,0,0
156500,"2012-01-01","FGDC",0,0,0
156513,"2008-01-01","FGDC",0,0,0
156675,"2014-01-01","ISO",0,0,1
156726,"2008-01-01","FGDC",0,1,0
156747,"2009-01-01","FGDC",0,1,0
156845,"2015-01-01","FGDC",0,0,37
156901,"2015-01-01","FGDC",0,0,0
156959,"","ISO",0,0,1
157012,"2008-01-01","FGDC",0,0,0
