"host","num_identified_by_protocol","protocol","total_for_host"
"www.esrl.noaa.gov",18,"""OGC""",4452
"www.esrp.org",7,"""FGDC""",7
"www.euskadi.eus",289,"""ISO""",1026
"www.fgdl.org",171,"""FGDC""",173
"www.fnai.org",10,"""FGDC""",10
"www.fws.gov",10,"""FGDC""",11
"www.ga.gov.au",1,"""ISO""",103
"www.geochron.org",3,"""OGC""",2
"www.geocommunicator.gov",5,"""OGC""",19
"www.geoportal.rlp.de",4,"""ISO""",10
"www.geoviqua.org",2,"""ISO""",2
"www.granit.sr.unh.edu",64,"""FGDC""",74
"www.icesi.edu.co",6,"""OAI-PMH""",19
"www.idaholidar.org",45,"""FGDC""",47
"www.idwr.idaho.gov",707,"""FGDC""",770
"www.insideidaho.org",24,"""FGDC""",27
"www.isgs.illinois.edu",92,"""FGDC""",105
"www.isgs.uiuc.edu",91,"""FGDC""",104
"www.landscape.blm.gov",1203,"""FGDC""",1433
"www.language-archives.org",1,"""OAI-PMH""",6
"www.lehendakaritza.ejgv.euskadi.eus",36,"""ISO""",102
"www.lib.unc.edu",1,"""OAI-PMH""",2
"www.lidata.eu",23,"""OAI-PMH""",44
"www.mapasdelapalma.es",1,"""OGC""",4
"www.marine-geo.org",4,"""OGC""",31
"www.marine-geo.org",5,"""ISO""",31
"www.maris.state.ms.us",17,"""OGC""",49
"www.mbari.org",2,"""FGDC""",9
"www.nauticalcharts.noaa.gov",1,"""ISO""",28
"www.nauticalcharts.noaa.gov",1,"""FGDC""",28
"www.ncddc.noaa.gov",107,"""OGC""",999
"www.ncddc.noaa.gov",315,"""ISO""",999
"www.ncddc.noaa.gov",57,"""FGDC""",999
"www.ngdc.noaa.gov",992,"""ISO""",1114
"www.ngdc.noaa.gov",4,"""FGDC""",1114
"www.ngu.no",6,"""ISO""",6
"www.nhc.noaa.gov",14,"""FGDC""",37
"www.nhcpara.noaa.gov",14,"""FGDC""",14
"www.nmfs.noaa.gov",12,"""FGDC""",16
"www.nodc.noaa.gov",38,"""FGDC""",4833
"www.nrel.gov",19,"""FGDC""",44
"www.openaccessrepository.it",16,"""OAI-PMH""",21
"www.openarchives.org",1,"""OAI-PMH""",14
"www.opendap.org",1,"""UNIDATA""",2
"www.oregongeology.org",9,"""OGC""",47
"www.oregon.gov",4,"""FGDC""",4
"www.pasda.psu.edu",193,"""FGDC""",248
"www.periodicos.uem.br",1,"""OAI-PMH""",5
"www.pmel.noaa.gov",1,"""FGDC""",12
"www.polardata.ca",14,"""OAI-PMH""",24
"www.ptagis.org",8,"""FGDC""",8
"www.quake.utah.edu",13,"""FGDC""",41
"www.rijkswaterstaat.nl",6,"""ISO""",271
"www.salford.gov.uk",6,"""OGC""",18
"www.salford.gov.uk",14,"""ISO""",18
"www.sccoos.org",1,"""FGDC""",2
"www.sciencebase.gov",2,"""OGC""",366
"www.sciencebase.gov",1,"""OAI-PMH""",366
"www.sco.wisc.edu",2,"""OGC""",4
"www.seadatanet.org",3,"""ISO""",5
"www.seismo.unr.edu",290,"""FGDC""",829
"www.seis.utah.edu",27,"""FGDC""",68
"www.sitr.regione.sicilia.it",2,"""ISO""",2
"www.sofia.usgs.gov",23,"""FGDC""",30
"www.srs.fs.usda.gov",59,"""FGDC""",59
"www.streamnet.org",18,"""FGDC""",22
"www.tdx.cat",19,"""OAI-PMH""",32
"www.tropicalgrasslands.info",3,"""OAI-PMH""",8
"www.usgs.gov",1156,"""ISO""",2339
"www.usgs.gov",1108,"""FGDC""",2339
"www.webapps.nwfsc.noaa.gov",5,"""OGC""",52
"www.worldsciencepublisher.org",2,"""OAI-PMH""",4
"www.zenodo.org",4,"""OAI-PMH""",294
"xml2.des.state.nh.us",9,"""OGC""",78
"yosemite.epa.gov",2,"""FGDC""",4
"zaguan.unizar.es",2,"""OAI-PMH""",6
"zenodo.org",17,"""OAI-PMH""",1200
