"host","num_identified_by_protocol","protocol","total_for_host"
"c3grid1.dkrz.de",34,"""OAI-PMH""",52
"calaix.gencat.cat",2,"""OAI-PMH""",3
"catalog.clarin.eu",213,"""OAI-PMH""",1005
"catalog.data.gov",4890,"""ISO""",10707
"catalog.data.gov",3043,"""FGDC""",10707
"catalogue.datalocale.fr",1,"""ISO""",59
"catedra.ruv.itesm.mx",1,"""OAI-PMH""",4
"ca.water.usgs.gov",1,"""ISO""",3
"ca.water.usgs.gov",1,"""FGDC""",3
"ccom.unh.edu",27,"""FGDC""",160
"ccrm.vims.edu",1,"""FGDC""",3
"cdip.ucsd.edu",96,"""FGDC""",96
"certmapper.cr.usgs.gov",22,"""OGC""",66
"cida.usgs.gov",2,"""ISO""",12
"clarin.dk",1,"""OAI-PMH""",3
"clarin-pl.eu",56,"""OAI-PMH""",92
"clear3.uconn.edu",2,"""OGC""",44
"clear.uconn.edu",5,"""FGDC""",5
"climate-adapt.eea.europa.eu",1,"""ISO""",3
"climate.calcommons.org",3,"""FGDC""",5
"cloud.insideidaho.org",1,"""OGC""",97
"cloud.insideidaho.org",84,"""FGDC""",97
"cloud.sdsc.edu",3,"""FGDC""",11
"cmgds.marine.usgs.gov",2,"""FGDC""",2
"coaps.fsu.edu",221,"""UNIDATA""",8182
"coastal.er.usgs.gov",4,"""FGDC""",4
"coastalmap.marine.usgs.gov",31,"""OGC""",96
"coast.noaa.gov",191,"""OGC""",1772
"coast.noaa.gov",234,"""ISO""",1772
"coast.noaa.gov",1034,"""FGDC""",1772
"coastwatch.pfeg.noaa.gov",333,"""ISO""",788
"coastwatch.pfeg.noaa.gov",325,"""FGDC""",788
"cocoon.huma-num.fr",4,"""OAI-PMH""",6
"collections.britishart.yale.edu",9,"""OAI-PMH""",19
"comcat.cr.usgs.gov",19,"""FGDC""",262
"comps.marine.usf.edu",2,"""OGC""",3
"conservancy.umn.edu",2,"""FGDC""",3
"contemporaneity.pitt.edu",1,"""OAI-PMH""",9
"crack.seismo.unr.edu",10,"""ISO""",315
"cteco.uconn.edu",63,"""FGDC""",63
"cugirmetadata.mannlib.cornell.edu",114,"""FGDC""",115
"cwcgom.aoml.noaa.gov",9,"""OGC""",12
"dash.harvard.edu",1,"""OAI-PMH""",4
"data1.gfdl.noaa.gov",6110,"""UNIDATA""",9411
"data.a2gov.org",20,"""FGDC""",30
"data.arcticatlas.org",12,"""FGDC""",40
"data.boisestate.edu",36,"""UNIDATA""",627
"data.boisestate.edu",4,"""ISO""",627
"data.boisestate.edu",109,"""FGDC""",627
"data.c3.uts.edu.au",8,"""UNIDATA""",18
"data.daff.gov.au",23,"""ISO""",23
"data.denvergov.org",155,"""FGDC""",157
"data.digitaldataservices.com",8,"""FGDC""",8
"data.doi.gov",1,"""OGC""",89
"data.doi.gov",43,"""ISO""",89
"data.doi.gov",43,"""FGDC""",89
"data.fao.org",1,"""ISO""",4
"data.fs.usda.gov",111,"""FGDC""",111
"data.geo.az.gov",1,"""OGC""",8
"data.gov.au",21,"""OGC""",86
"data.gov.au",2,"""OAI-PMH""",86
"data.gov.au",24,"""ISO""",86
"data.ioos.us",184,"""ISO""",369
"data.ioos.us",184,"""FGDC""",369
"data.nanoos.org",1,"""OGC""",59
"data.nanoos.org",22,"""ISO""",59
"data.nanoos.org",22,"""FGDC""",59
"data.noaa.gov",1244,"""ISO""",2237
"data.noaa.gov",338,"""FGDC""",2237
"data.nodc.noaa.gov",2,"""UNIDATA""",277
"data.nodc.noaa.gov",101,"""ISO""",277
"data.ottawa.ca",7,"""ISO""",19
"datapoint.metoffice.gov.uk",25,"""ISO""",25
"data.sa.gov.au",2,"""FGDC""",12
"data.satapps.org",37,"""ISO""",38
"data-search.nerc.ac.uk",688,"""ISO""",3158
