"protocol","published","count_w_lineage","count_wo_lineage"
"""FGDC""","1998-09-01",16,1
"""ISO""","1998-09-01",0,3
"""FGDC""","1998-10-01",30,0
"""ISO""","1998-10-01",0,9
"""FGDC""","1998-11-01",7,0
"""FGDC""","1998-12-01",11,0
"""FGDC""","1999-01-01",2,1
"""ISO""","1999-01-01",0,4
"""FGDC""","1999-02-01",16,0
"""FGDC""","1999-03-01",2,1
"""FGDC""","1999-04-01",2,0
"""FGDC""","1999-05-01",6,0
"""ISO""","1999-05-01",0,1
"""FGDC""","1999-06-01",2,1
"""ISO""","1999-06-01",0,1
"""FGDC""","1999-07-01",7,0
"""FGDC""","1999-09-01",1,0
"""FGDC""","1999-10-01",4,0
"""ISO""","1999-10-01",0,2
"""FGDC""","1999-11-01",10,1
"""ISO""","1999-11-01",0,2
"""FGDC""","1999-12-01",18,0
"""ISO""","1999-12-01",0,3
"""FGDC""","2000-01-01",14,0
"""ISO""","2000-01-01",0,1
"""FGDC""","2000-02-01",1,2
"""FGDC""","2000-03-01",2,0
"""FGDC""","2000-04-01",3,0
"""FGDC""","2000-05-01",1,0
"""FGDC""","2000-07-01",7,0
"""ISO""","2000-07-01",0,8
"""FGDC""","2000-08-01",2,0
"""ISO""","2000-08-01",0,2
"""FGDC""","2000-10-01",7,0
"""ISO""","2000-10-01",0,2
"""FGDC""","2000-11-01",16,0
"""FGDC""","2000-12-01",10,0
"""FGDC""","2001-01-01",10,0
"""ISO""","2001-01-01",0,1
"""FGDC""","2001-02-01",1,0
"""FGDC""","2001-03-01",3,0
"""ISO""","2001-03-01",0,1
"""FGDC""","2001-04-01",4,0
"""ISO""","2001-04-01",0,4
"""FGDC""","2001-05-01",13,0
"""ISO""","2001-05-01",0,8
"""FGDC""","2001-06-01",5,0
"""ISO""","2001-06-01",0,2
"""FGDC""","2001-07-01",3,0
"""ISO""","2001-07-01",0,1
"""FGDC""","2001-08-01",3,0
"""ISO""","2001-08-01",0,1
"""FGDC""","2001-09-01",8,0
"""ISO""","2001-09-01",0,3
"""FGDC""","2001-10-01",10,0
"""FGDC""","2001-11-01",9,1
"""FGDC""","2001-12-01",11,1
"""ISO""","2001-12-01",0,1
"""FGDC""","2002-01-01",23,0
"""ISO""","2002-01-01",0,8
"""FGDC""","2002-02-01",15,1
"""ISO""","2002-02-01",0,1
"""FGDC""","2002-03-01",4,0
"""ISO""","2002-03-01",0,3
"""FGDC""","2002-04-01",5,0
"""FGDC""","2002-05-01",13,0
"""ISO""","2002-05-01",0,4
"""FGDC""","2002-06-01",4,0
"""FGDC""","2002-07-01",12,0
"""ISO""","2002-07-01",0,9
"""FGDC""","2002-08-01",9,1
"""ISO""","2002-08-01",0,6
"""FGDC""","2002-09-01",33,0
"""ISO""","2002-09-01",0,3
"""FGDC""","2002-10-01",19,3
"""FGDC""","2002-11-01",12,0
"""FGDC""","2002-12-01",27,2
"""ISO""","2002-12-01",0,3
"""FGDC""","2003-01-01",13,4
"""ISO""","2003-01-01",0,8
"""FGDC""","2003-02-01",4,1
"""ISO""","2003-02-01",0,6
"""FGDC""","2003-03-01",7,2
"""ISO""","2003-03-01",0,2
"""FGDC""","2003-04-01",20,10
"""ISO""","2003-04-01",0,1
"""FGDC""","2003-05-01",8,0
"""FGDC""","2003-06-01",36,0
"""ISO""","2003-06-01",0,26
"""FGDC""","2003-07-01",52,2
"""ISO""","2003-07-01",0,1
"""FGDC""","2003-08-01",12,3
"""ISO""","2003-08-01",0,2
"""FGDC""","2003-09-01",12,2
"""FGDC""","2003-10-01",256,4
"""FGDC""","2003-11-01",47,1
"""ISO""","2003-11-01",0,2
"""FGDC""","2003-12-01",36,3
"""ISO""","2003-12-01",0,4
"""FGDC""","2004-01-01",18,9
"""FGDC""","2004-02-01",100,9
"""ISO""","2004-02-01",0,4
"""FGDC""","2004-03-01",22,3
"""ISO""","2004-03-01",0,6
"""FGDC""","2004-04-01",44,0
"""ISO""","2004-04-01",0,2
"""FGDC""","2004-05-01",152,0
"""ISO""","2004-05-01",0,10
"""FGDC""","2004-06-01",35,1
"""ISO""","2004-06-01",0,4
"""FGDC""","2004-07-01",27,0
"""ISO""","2004-07-01",0,4
"""FGDC""","2004-08-01",10,1
"""ISO""","2004-08-01",0,1
"""FGDC""","2004-09-01",68,1
"""ISO""","2004-09-01",0,2
"""FGDC""","2004-10-01",72,4
"""ISO""","2004-10-01",0,10
"""FGDC""","2004-11-01",206,7
"""ISO""","2004-11-01",0,8
"""FGDC""","2004-12-01",97,5
"""FGDC""","2005-01-01",50,2
"""ISO""","2005-01-01",0,3
"""FGDC""","2005-02-01",79,2
"""ISO""","2005-02-01",0,20
"""FGDC""","2005-03-01",44,0
"""ISO""","2005-03-01",0,3
"""FGDC""","2005-04-01",40,0
"""ISO""","2005-04-01",0,10
"""FGDC""","2005-05-01",65,1
"""ISO""","2005-05-01",0,2
"""FGDC""","2005-06-01",41,4
"""ISO""","2005-06-01",0,8
"""FGDC""","2005-07-01",39,1
"""ISO""","2005-07-01",0,18
"""FGDC""","2005-08-01",45,6
"""ISO""","2005-08-01",0,6
"""FGDC""","2005-09-01",51,4
"""ISO""","2005-09-01",0,6
"""FGDC""","2005-10-01",93,2
"""ISO""","2005-10-01",0,29
"""FGDC""","2005-11-01",57,1
"""ISO""","2005-11-01",0,5
"""FGDC""","2005-12-01",77,0
"""ISO""","2005-12-01",0,8
"""FGDC""","2006-01-01",115,1
"""ISO""","2006-01-01",0,19
"""FGDC""","2006-02-01",28,3
"""ISO""","2006-02-01",0,17
"""FGDC""","2006-03-01",97,1
"""ISO""","2006-03-01",0,21
"""FGDC""","2006-04-01",45,0
"""ISO""","2006-04-01",0,16
"""FGDC""","2006-05-01",70,2
"""ISO""","2006-05-01",0,12
"""FGDC""","2006-06-01",71,4
"""ISO""","2006-06-01",0,48
"""FGDC""","2006-07-01",119,2
"""ISO""","2006-07-01",0,28
"""FGDC""","2006-08-01",51,1
"""ISO""","2006-08-01",0,4
"""FGDC""","2006-09-01",53,1
"""ISO""","2006-09-01",0,5
"""FGDC""","2006-10-01",43,4
"""ISO""","2006-10-01",0,10
"""FGDC""","2006-11-01",77,2
"""ISO""","2006-11-01",0,6
"""FGDC""","2006-12-01",91,5
"""ISO""","2006-12-01",0,9
"""FGDC""","2007-01-01",165,11
"""ISO""","2007-01-01",0,22
"""FGDC""","2007-02-01",34,1
"""ISO""","2007-02-01",0,6
"""FGDC""","2007-03-01",154,6
"""ISO""","2007-03-01",0,10
"""FGDC""","2007-04-01",127,0
