"element_value","num_elems"
"375",108
"381",64
"browsing",149
"display",10
"download",11763
"downloadRegistration",2
"fileAccess",1
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_OnLineFunctionCode",443
"information",3144
"mapDigital",1474
"offlineAccess",29
"order",176
"search",527
"URL",2
"view",1
"webService",98
