"host","num_identified_by_protocol","protocol","total_for_host"
"baas-becking.biology.utah.edu",1,"""OpenSearch""",1
"babelfish.arc.nasa.gov",1,"""OpenSearch""",1
"badgrads.berkeley.edu",1,"""OpenSearch""",1
"bafb.yccd.edu",1,"""OpenSearch""",1
"bahainyc.org",1,"""OpenSearch""",2
"bakerinstitute.org",1,"""OpenSearch""",1
"barcelonaservicejam.org",1,"""OpenSearch""",1
"barnowl.mit.edu",1,"""OpenSearch""",1
"barsummit.org",1,"""OpenSearch""",1
"basemap.nationalmap.gov",12,"""OGC""",26
"basepub.dauphine.fr",8,"""OAI-PMH""",11
"bcbi.uprrp.edu",1,"""OpenSearch""",1
"bclines.bethelks.edu",1,"""OpenSearch""",1
"bc.pollub.pl",3,"""OAI-PMH""",4
"bcpw.bg.pw.edu.pl",9,"""OAI-PMH""",24
"bcw.ac.upc.edu",3,"""OpenSearch""",3
"bd.org.tr",1,"""OAI-PMH""",11
"beaker.readthedocs.org",3,"""OpenSearch""",3
"beeldbank.amsterdam.nl",1,"""OpenSearch""",1
"beh.columbia.edu",1,"""OpenSearch""",1
"bejerano.stanford.edu",1,"""OpenSearch""",1
"bengtbeier.eu",1,"""OpenSearch""",1
"benin.opendataforafrica.org",1,"""OpenSearch""",1
"beta.data.ordnancesurvey.co.uk",4,"""OpenSearch""",4
"bexleyseabury.edu",5,"""OpenSearch""",5
"b.hatena.ne.jp",1,"""OpenSearch""",1
"bicycle.colostate.edu",1,"""OpenSearch""",1
"bid.berkeley.edu",3,"""OpenSearch""",3
"bigdata.iastate.edu",1,"""OpenSearch""",1
"bigdatasummerinst.sph.umich.edu",1,"""OpenSearch""",1
"biiacs-dspace.cide.edu",2,"""OpenSearch""",5
"bildnercenter.rutgers.edu",2,"""OpenSearch""",2
"bioassayontology.org",1,"""OpenSearch""",1
"bio.discomap.eea.europa.eu",5,"""OGC""",36
"biologyprofiles.stanford.edu",1,"""OpenSearch""",1
"biomed20.ucsf.edu",1,"""OpenSearch""",1
"bionium.miami.edu",1,"""OpenSearch""",1
"bir.brandeis.edu",2,"""OpenSearch""",43
"bir.brandeis.edu",17,"""OAI-PMH""",43
"bitbucket.org",1,"""OpenSearch""",1
"bitss.org",1,"""OpenSearch""",1
"bix-lab.ucsd.edu",1,"""OpenSearch""",1
"bjohns.in",3,"""OAI-PMH""",14
"blackberry.wordpress.org",1,"""OpenSearch""",1
"blocbibreserva.ub.edu",1,"""OpenSearch""",1
"blocdelletres.ub.edu",1,"""OpenSearch""",1
"blocfarminfo.ub.edu",1,"""OpenSearch""",1
"blocfiq.ub.edu",1,"""OpenSearch""",1
"blocgeologia.ub.edu",1,"""OpenSearch""",1
"blocmat.ub.edu",1,"""OpenSearch""",1
"blocpavellorepublica.ub.edu",1,"""OpenSearch""",1
"blocveu.ub.edu",1,"""OpenSearch""",1
"blog.aaanet.org",1,"""OpenSearch""",1
"blog.bea.gov",1,"""OpenSearch""",1
"blog.datadryad.org",1,"""OpenSearch""",1
"blog.dmptool.org",1,"""OpenSearch""",1
"blog.gvsig.org",1,"""OpenSearch""",1
"blog.medicare.gov",1,"""OpenSearch""",1
"blog.openaccessbutton.org",1,"""OpenSearch""",1
"blog.personalgenomes.org",1,"""OpenSearch""",1
"blog.sdss3.org",1,"""OpenSearch""",1
"blog.trade.gov",1,"""OpenSearch""",1
"blog.wellcome.ac.uk",1,"""OpenSearch""",1
"blog.wikimedia.org",1,"""OpenSearch""",1
"blog.zooniverse.org",1,"""OpenSearch""",1
"bloomsburydtc.ac.uk",1,"""OpenSearch""",1
"bluehub.jrc.ec.europa.eu",1,"""OpenSearch""",281
"bluehub.jrc.ec.europa.eu",4,"""OGC""",281
"bluehub.jrc.ec.europa.eu",136,"""ISO""",281
"bluehub.jrc.ec.europa.eu",136,"""FGDC""",281
"bmeanswers.bbc.mcw.edu",1,"""OpenSearch""",1
"bmi205.stanford.edu",1,"""OpenSearch""",1
"bnrc.berkeley.edu",37,"""OpenSearch""",37
"bodyandbeing.lmc.gatech.edu",1,"""OpenSearch""",1
"books.bk.tudelft.nl",3,"""OAI-PMH""",11
"bora.uib.no",1,"""OAI-PMH""",8
"borsaconvenis.eet.upc.edu",3,"""OpenSearch""",3
"borsaconvenis.etseiat.upc.edu",1,"""OpenSearch""",1
"botswana.opendataforafrica.org",1,"""OpenSearch""",1
"bradscholars.brad.ac.uk",4,"""OAI-PMH""",6
"brainmaps.org",1,"""OpenSearch""",1
"brennayovanoff.com",1,"""OpenSearch""",1
"britishstudies.rutgers.edu",1,"""OpenSearch""",1
"bronx.lehman.cuny.edu",1,"""OpenSearch""",1
"bscw.ercim.eu",1,"""OpenSearch""",1
"bsj.pitt.edu",2,"""OAI-PMH""",5
"bulletin.csusb.edu",1,"""OpenSearch""",1
"bulletin.marquette.edu",1,"""OpenSearch""",1
"bulletin.temple.edu",1,"""OpenSearch""",1
"burkinafaso.opendataforafrica.org",1,"""OpenSearch""",1
"business.uicapture.uiowa.edu",1,"""OpenSearch""",1
"bus.wisc.edu",2,"""OpenSearch""",2
"bv.stanford.edu",1,"""OpenSearch""",540
"c3bio.org",8,"""OpenSearch""",8
"c3grid1.dkrz.de",34,"""OAI-PMH""",52
"caboverde.opendataforafrica.org",1,"""OpenSearch""",1
"cadair.aber.ac.uk",1,"""OpenSearch""",3
"cadmus.eui.eu",1,"""OpenSearch""",2
"caesr-web.chem.ox.ac.uk",1,"""OpenSearch""",1
"cafe.spl.harvard.edu",2,"""OpenSearch""",2
"calaix.gencat.cat",2,"""OAI-PMH""",3
"cameroon.opendataforafrica.org",1,"""OpenSearch""",1
"cancer.stanford.edu",1,"""OpenSearch""",1
"cardinalscholar.bsu.edu",1,"""OpenSearch""",12
"careercenter.famu.edu",4,"""OpenSearch""",4
"car.opendataforafrica.org",1,"""OpenSearch""",1
"casere3.dspacedirect.org",1,"""OpenSearch""",1
"caspian.iwlearn.org",1,"""OpenSearch""",1
"cass.ucsd.edu",1,"""OpenSearch""",1
"casswww.ucsd.edu",1,"""OpenSearch""",1
"catalog.apu.edu",1,"""OpenSearch""",1
"catalog.bryant.edu",1,"""OpenSearch""",1
"catalog.callutheran.edu",1,"""OpenSearch""",1
"catalog.calpoly.edu",1,"""OpenSearch""",1
"catalog.clarin.eu",213,"""OAI-PMH""",1005
"catalog.creighton.edu",1,"""OpenSearch""",1
"catalog.daltonstate.edu",1,"""OpenSearch""",1
"catalog.data.gov",4890,"""ISO""",10707
"catalog.data.gov",3043,"""FGDC""",10707
"catalog.dixie.edu",1,"""OpenSearch""",1
"catalog.drexel.edu",1,"""OpenSearch""",1
"catalog.fitnyc.edu",1,"""OpenSearch""",1
"catalog.gfcmsu.edu",1,"""OpenSearch""",1
"catalog.husson.edu",1,"""OpenSearch""",1
"catalog.iastate.edu",1,"""OpenSearch""",1
"catalog.ivcc.edu",1,"""OpenSearch""",1
"catalog.jccc.edu",1,"""OpenSearch""",1
"catalog.jwu.edu",1,"""OpenSearch""",1
"catalog.ku.edu",1,"""OpenSearch""",1
"catalog.lcsc.edu",1,"""OpenSearch""",1
"catalog.lehigh.edu",1,"""OpenSearch""",1
"catalog.libraries.wm.edu",1,"""OpenSearch""",1
"catalog.manhattan.edu",1,"""OpenSearch""",1
"catalog.minotstateu.edu",1,"""OpenSearch""",1
"catalog.miracosta.edu",1,"""OpenSearch""",1
"catalog.missouri.edu",1,"""OpenSearch""",1
"catalog.msstate.edu",1,"""OpenSearch""",1
"catalog.mst.edu",1,"""OpenSearch""",1
"catalog.mtmercy.edu",1,"""OpenSearch""",1
"catalog.mwcc.edu",1,"""OpenSearch""",1
"catalog.ncsu.edu",1,"""OpenSearch""",1
"catalog.njit.edu",1,"""OpenSearch""",1
"catalog.oaklandcc.edu",1,"""OpenSearch""",1
"catalog.odu.edu",1,"""OpenSearch""",1
"catalog.pacific.edu",1,"""OpenSearch""",1
"catalog.pcc.edu",1,"""OpenSearch""",1
"catalog.principiacollege.edu",1,"""OpenSearch""",1
"catalog.pvamu.edu",1,"""OpenSearch""",1
"catalogs.saintpeters.edu",1,"""OpenSearch""",1
"catalog.stetson.edu",1,"""OpenSearch""",1
"catalog.stmarytx.edu",1,"""OpenSearch""",1
"catalog.tamuc.edu",1,"""OpenSearch""",1
"catalog.tamu.edu",1,"""OpenSearch""",1
"catalog.tarleton.edu",1,"""OpenSearch""",1
"catalog.towson.edu",1,"""OpenSearch""",1
"catalog.twu.edu",1,"""OpenSearch""",1
"catalog.uab.edu",1,"""OpenSearch""",1
"catalog.uah.edu",1,"""OpenSearch""",1
"catalog.uark.edu",1,"""OpenSearch""",1
"catalog.udayton.edu",1,"""OpenSearch""",1
"catalogue.datalocale.fr",1,"""ISO""",59
"catalogue.uci.edu",1,"""OpenSearch""",1
"catalogue.uvm.edu",1,"""OpenSearch""",1
"catalog.uic.edu",1,"""OpenSearch""",1
"catalog.uis.edu",1,"""OpenSearch""",1
"catalog.umkc.edu",1,"""OpenSearch""",1
"catalog.uni.edu",1,"""OpenSearch""",1
"catalog.uoregon.edu",1,"""OpenSearch""",1
"catalog.uta.edu",1,"""OpenSearch""",1
"catalog.utep.edu",1,"""OpenSearch""",1
"catalog.utexas.edu",1,"""OpenSearch""",1
"catalog.uthscsa.edu",1,"""OpenSearch""",1
"catalog.utsa.edu",1,"""OpenSearch""",1
