"id","age","protocol","num_quality_tokens","num_quality_elements"
306490,"2011-09-01","""ISO""",20,2
345590,"2014-11-01","""ISO""",6,2
199342,"2006-04-01","""ISO""",150,2
545933,"2011-02-01","""ISO""",158,2
765094,"2004-02-01","""ISO""",10,2
698786,"2015-06-01","""ISO""",22,2
617548,"2014-09-01","""ISO""",24,2
342654,"2012-12-01","""ISO""",136,2
165340,"2008-07-01","""ISO""",82,2
667142,"2011-11-01","""ISO""",98,2
744851,"2011-04-01","""ISO""",194,2
336890,"2014-03-01","""ISO""",32,2
419162,"2005-06-01","""ISO""",32,2
336431,"2009-01-01","""ISO""",80,2
400159,"2012-12-01","""ISO""",50,2
550774,"2014-04-01","""ISO""",18,2
330641,"1998-07-01","""ISO""",16,2
285163,"2010-08-01","""ISO""",140,2
165803,"2013-03-01","""ISO""",114,2
719121,"2007-10-01","""ISO""",74,2
562727,"9999-01-01","""ISO""",78,2
158489,"2012-08-01","""ISO""",66,2
277829,"2015-06-01","""ISO""",150,2
298834,"2012-06-01","""ISO""",44,2
177696,"2014-03-01","""ISO""",2,2
608196,"2008-09-01","""ISO""",346,2
253477,"2014-02-01","""ISO""",20,2
227465,"2012-06-01","""ISO""",44,2
349974,"1998-07-01","""ISO""",16,2
327592,"2005-02-01","""ISO""",12,2
299411,"2007-01-01","""ISO""",190,2
659787,"2012-06-01","""ISO""",44,2
150461,"2014-11-01","""ISO""",2,2
336063,"2014-03-01","""ISO""",40,2
455008,"2010-10-01","""ISO""",190,2
349804,"2014-09-01","""ISO""",92,2
163960,"2007-08-01","""ISO""",158,2
268251,"2012-06-01","""ISO""",44,2
414323,"2014-12-01","""ISO""",546,2
420294,"2013-12-01","""ISO""",104,2
712242,"2012-05-01","""ISO""",190,2
789572,"2013-09-01","""ISO""",90,2
286825,"2014-10-01","""ISO""",50,2
704182,"2014-07-01","""ISO""",2,2
291704,"2014-07-01","""ISO""",136,2
145882,"2011-05-01","""ISO""",190,2
741121,"2013-11-01","""ISO""",106,2
654966,"2012-03-01","""ISO""",80,2
172019,"2014-07-01","""ISO""",80,2
346958,"2004-07-01","""ISO""",114,2
530074,"2002-08-01","""ISO""",218,2
196446,"2009-03-01","""ISO""",80,2
351178,"2010-10-01","""ISO""",134,2
580987,"2006-05-01","""ISO""",24,2
471297,"2015-06-01","""ISO""",22,2
591761,"2014-06-01","""ISO""",2,2
723172,"2014-06-01","""ISO""",12,2
616662,"2012-02-01","""ISO""",84,2
793559,"9999-01-01","""ISO""",30,2
741701,"2014-12-01","""ISO""",18,2
774288,"2009-08-01","""ISO""",190,2
435441,"2010-08-01","""ISO""",190,2
462764,"2012-12-01","""ISO""",178,2
590379,"2014-07-01","""ISO""",136,2
481744,"2014-09-01","""ISO""",136,2
443612,"2005-01-01","""ISO""",14,2
335184,"2009-11-01","""ISO""",2,2
446880,"2011-06-01","""ISO""",34,2
649629,"2007-02-01","""ISO""",346,2
726707,"2012-12-01","""ISO""",136,2
573148,"2012-02-01","""ISO""",2,2
814055,"2012-10-01","""ISO""",40,2
675262,"2015-06-01","""ISO""",19,2
633336,"2012-06-01","""ISO""",44,2
723355,"2015-03-01","""ISO""",58,2
349048,"2003-06-01","""ISO""",134,2
234696,"9999-01-01","""ISO""",2,2
670979,"2011-09-01","""ISO""",48,2
528993,"2010-12-01","""ISO""",346,2
510338,"2006-02-01","""ISO""",134,2
326402,"2015-05-01","""ISO""",228,2
776821,"2014-03-01","""ISO""",32,2
226184,"2013-07-01","""ISO""",456,2
714341,"2010-03-01","""ISO""",76,2
340008,"2005-02-01","""ISO""",12,2
397739,"2014-07-01","""ISO""",8,2
250602,"2013-11-01","""ISO""",16,2
541264,"1998-07-01","""ISO""",16,2
686033,"2012-11-01","""ISO""",2,2
448134,"2011-06-01","""ISO""",50,2
241667,"2014-10-01","""ISO""",124,2
507164,"2012-06-01","""ISO""",44,2
526820,"2014-03-01","""ISO""",2,2
784354,"2013-12-01","""ISO""",70,2
543125,"2012-09-01","""ISO""",216,2
318808,"2014-06-01","""ISO""",12,2
695227,"1998-07-01","""ISO""",16,2
704668,"2010-04-01","""ISO""",342,2
374585,"2008-02-01","""ISO""",342,2
273329,"2006-03-01","""ISO""",148,2
739562,"2001-03-01","""ISO""",44,2
322805,"2013-10-01","""ISO""",50,2
784765,"2011-03-01","""ISO""",190,2
774107,"2014-09-01","""ISO""",136,2
400970,"2014-07-01","""ISO""",128,2
529916,"9999-01-01","""ISO""",2,2
479823,"2012-01-01","""ISO""",190,2
455727,"2014-07-01","""ISO""",214,2
505345,"2013-10-01","""ISO""",44,2
483153,"2015-03-01","""ISO""",16,2
456421,"2015-07-01","""ISO""",60,2
810059,"2010-04-01","""ISO""",112,2
604085,"2015-06-01","""ISO""",28,2
342374,"2009-05-01","""ISO""",564,2
387134,"2009-01-01","""ISO""",40,2
174142,"2010-09-01","""ISO""",176,2
215404,"2010-06-01","""ISO""",2,2
784652,"2011-09-01","""ISO""",190,2
459864,"2010-07-01","""ISO""",190,2
185897,"2012-12-01","""ISO""",136,2
582991,"2014-11-01","""ISO""",14,2
