"tag","num"
"OAI-PMH/GetRecord/record/metadata/dc/relation",34
"metadata/dataqual/lineage/procstep/procdesc",34
"RDF/item/description",33
"",32
"feed/entry/link/@href",32
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/linkage/URL",31
"codeBook/otherMat/@URI",30
"references/reference/ab",29
"metadata/idinfo/citation/citeinfo/othercit",28
"collection/dc/description",27
"xml/records/record/abstract/style",27
"RDF/item/doi",27
"xml/records/record/electronic-resource-num",26
"QMRF/Catalogs/publications_catalog/publication/@url",26
"metadata/project/idinfo/publication/citeinfo/onlink/link",26
"DS_Series/seriesMetadata/MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor",25
"MI_Metadata/identificationInfo/MD_DataIdentification/credit/CharacterString",24
"WFS_Capabilities/FeatureTypeList/FeatureType/Abstract",24
"article/body/sec/p/ext-link/@href",24
"article/body/sec/p/list/list-item/p/uri",23
"eprints/eprint/id_number",22
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/identifier/MD_Identifier/code/CharacterString",22
"OAI-PMH/ListRecords/record/metadata/DIDL/Item/Item/Component/Resource/mods/identifier",21
"MI_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/name/CharacterString",21
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_Constraints/useLimitation/CharacterString",20
"response/result/doc/str",20
"resource/descriptions/description",20
"RDF/channel/image/@resource",20
"Envelope/Body/ReportResponse/Report/Report/Customer/ReportItems/ItemIdentifier/Value",19
"RDF/Subject/Link/@resource",19
"metadata/citation",19
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/accinstr",18
"Product_Document/Reference_List/External_Reference/reference_text",18
"RDF/Dataset/distribution/Distribution/title",18
"Product_Document/Reference_List/External_Reference/doi",18
"metadata/idinfo/citation/citeinfo/lworkcit/citeinfo/serinfo/issue",17
"CMD/Components/OLAC-DcmiTerms/references",17
"feed/entry/content",17
"record/metadata/olac/references",17
"articles/article/front/abstract",16
"metadata/project/idinfo/descript/supplinf",16
"OAI-PMH/ListRecords/record/metadata/dc/rights",15
"eml/additionalMetadata/metadata/gbif/citation/@identifier",15
"RDF/Dataset/description",15
"RDF/Description/wasDerivedFrom/@resource",15
"metadata/eainfo/overview/eadetcit",15
"MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/Anchor",15
"papers/category/paper/url",14
"OAI-PMH/ListRecords/record/metadata/dc/description",14
"RDF/Subject/DOI_Name",14
"metadata/idinfo/citation/citeinfo/origin",14
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/otherCitationDetails/CharacterString",13
