"protocol","host","match_type","count_w_type","pct_w_type","total_responses"
"ISO","catalog.data.gov","md5",341,6.97,4890
"ISO","www.coris.noaa.gov","md5",7,2.66,263
"ISO","data.doi.gov","md5",1,2.33,43
"ISO","webarchive.nationalarchives.gov.uk","md5",1,0.73,137
"ISO","meta.geo.census.gov","md5",1,0.06,1727
"ISO","data.nanoos.org","text",22,100.00,22
"ISO","www.lehendakaritza.ejgv.euskadi.eus","text",36,100.00,36
"ISO","data.daff.gov.au","text",23,100.00,23
"ISO","stellwagen.er.usgs.gov","text",107,98.17,109
"ISO","data.ulm.de","text",45,97.83,46
"ISO","data.ioos.us","text",180,97.83,184
"ISO","coastwatch.pfeg.noaa.gov","text",325,97.60,333
"ISO","www.ncddc.noaa.gov","text",307,97.46,315
"ISO","ecco.jpl.nasa.gov","text",143,97.28,147
"ISO","inport.nmfs.noaa.gov","text",753,97.04,776
"ISO","www.coris.noaa.gov","text",255,96.96,263
"ISO","www.ngdc.noaa.gov","text",959,96.67,992
"ISO","upwell.pfeg.noaa.gov","text",115,96.64,119
"ISO","www.euskadi.eus","text",279,96.54,289
"ISO","opendata.euskadi.eus","text",653,96.45,677
"ISO","bluehub.jrc.ec.europa.eu","text",131,96.32,136
"ISO","osmc.noaa.gov","text",26,96.30,27
"ISO","ecowatch.ncddc.noaa.gov","text",73,96.05,76
"ISO","data.nodc.noaa.gov","text",97,96.04,101
"ISO","oos.soest.hawaii.edu","text",314,95.73,328
"ISO","www.charts.noaa.gov","text",410,95.35,430
"ISO","coast.noaa.gov","text",223,95.30,234
"ISO","portal.oceannet.org","text",99,95.19,104
"ISO","webarchive.nationalarchives.gov.uk","text",130,94.89,137
"ISO","data.satapps.org","text",35,94.59,37
"ISO","meta.geo.census.gov","text",1626,94.15,1727
"ISO","geoport.whoi.edu","text",105,93.75,112
"ISO","www.salford.gov.uk","text",13,92.86,14
"ISO","edg.epa.gov","text",61,91.04,67
"ISO","www.admiralty.co.uk","text",25,89.29,28
"ISO","locationmde.data.gov.uk","text",159,87.85,181
"ISO","ferret.pmel.noaa.gov","text",14,87.50,16
"ISO","pacioos-mapserver2.ancl.hawaii.edu","text",11,84.62,13
"ISO","wis.wmo.int","text",19,82.61,23
"ISO","data-search.nerc.ac.uk","text",512,74.42,688
"ISO","repository.stategeothermaldata.org","text",1141,48.70,2343
"ISO","gstore.unm.edu","text",309,45.91,673
"ISO","data.noaa.gov","text",565,45.42,1244
"ISO","datapoint.metoffice.gov.uk","text",7,28.00,25
"ISO","data.gov.au","text",6,25.00,24
"ISO","catalog.data.gov","text",1059,21.66,4890
"ISO","www.eea.europa.eu","text",1,5.00,20
"ISO","www.usgs.gov","text",33,2.85,1156
"ISO","data.doi.gov","text",1,2.33,43
"ISO","www.aoncadis.org","urn",30,96.77,31
"ISO","www.earthsystemgrid.org","urn",88,94.62,93
"ISO","repository.stategeothermaldata.org","urn",1028,43.88,2343
"ISO","oos.soest.hawaii.edu","urn",92,28.05,328
"ISO","locationmde.data.gov.uk","urn",32,17.68,181
"ISO","gar.lternet.edu","urn",1,5.00,20
"ISO","data.daff.gov.au","urn",1,4.35,23
"ISO","data.gov.au","urn",1,4.17,24
"ISO","mcm.lternet.edu","urn",2,2.63,76
"ISO","data.doi.gov","urn",1,2.33,43
"ISO","catalog.data.gov","urn",107,2.19,4890
"ISO","data.nodc.noaa.gov","urn",2,1.98,101
"ISO","data.noaa.gov","urn",22,1.77,1244
"ISO","webarchive.nationalarchives.gov.uk","urn",1,0.73,137
"ISO","www.euskadi.eus","urn",2,0.69,289
"ISO","www.ngdc.noaa.gov","urn",6,0.60,992
"ISO","opendata.euskadi.eus","urn",2,0.30,677
"ISO","gstore.unm.edu","urn",2,0.30,673
"ISO","meta.geo.census.gov","urn",4,0.23,1727
"ISO","data-search.nerc.ac.uk","urn",1,0.15,688
"ISO","www.lehendakaritza.ejgv.euskadi.eus","uuid",36,100.00,36
"ISO","sero.nmfs.noaa.gov","uuid",32,100.00,32
"ISO","www.eea.europa.eu","uuid",20,100.00,20
"ISO","www.ncddc.noaa.gov","uuid",307,97.46,315
"ISO","webarchive.nationalarchives.gov.uk","uuid",133,97.08,137
"ISO","inport.nmfs.noaa.gov","uuid",753,97.04,776
"ISO","catalog.data.gov","uuid",4740,96.93,4890
"ISO","www.aoncadis.org","uuid",30,96.77,31
"ISO","locationmde.data.gov.uk","uuid",175,96.69,181
"ISO","www.euskadi.eus","uuid",279,96.54,289
"ISO","data.noaa.gov","uuid",1200,96.46,1244
"ISO","opendata.euskadi.eus","uuid",653,96.45,677
"ISO","meta.geo.census.gov","uuid",1661,96.18,1727
"ISO","datapoint.metoffice.gov.uk","uuid",24,96.00,25
"ISO","gstore.unm.edu","uuid",643,95.54,673
"ISO","edg.epa.gov","uuid",64,95.52,67
"ISO","data.doi.gov","uuid",41,95.35,43
"ISO","maps.norfolk.gov.uk","uuid",18,94.74,19
"ISO","www.earthsystemgrid.org","uuid",88,94.62,93
"ISO","data.satapps.org","uuid",35,94.59,37
"ISO","www.ngdc.noaa.gov","uuid",929,93.65,992
"ISO","coast.noaa.gov","uuid",218,93.16,234
"ISO","www.salford.gov.uk","uuid",13,92.86,14
"ISO","www.admiralty.co.uk","uuid",26,92.86,28
"ISO","data.gov.au","uuid",22,91.67,24
"ISO","repository.stategeothermaldata.org","uuid",1687,72.00,2343
"ISO","portal.oceannet.org","uuid",71,68.27,104
"ISO","data-search.nerc.ac.uk","uuid",287,41.72,688
"ISO","www.coris.noaa.gov","uuid",42,15.97,263
"ISO","bluehub.jrc.ec.europa.eu","uuid",3,2.21,136
"ISO","www.usgs.gov","uuid",1,0.09,1156
"OAI-PMH","catalog.clarin.eu","cooluri",21,9.86,213
"OAI-PMH","www.lidata.eu","cooluri",1,4.35,23
"OAI-PMH","www.openaccessrepository.it","doi",16,100.00,16
"OAI-PMH","oai.datacite.org","doi",37,97.37,38
"OAI-PMH","zenodo.org","doi",16,94.12,17
"OAI-PMH","nsidc.org","doi",42,89.36,47
"OAI-PMH","archiv.ub.uni-marburg.de","doi",6,46.15,13
"OAI-PMH","mercury.ornl.gov","doi",30,43.48,69
"OAI-PMH","www.polardata.ca","doi",5,35.71,14
"OAI-PMH","drtc.isibang.ac.in","doi",8,4.85,165
"OAI-PMH","openknowledge.worldbank.org","doi",1,3.13,32
"OAI-PMH","oai.narcis.nl","doi",11,1.83,600
"OAI-PMH","openknowledge.worldbank.org","hdl",31,96.88,32
"OAI-PMH","drtc.isibang.ac.in","hdl",137,83.03,165
"OAI-PMH","www.tdx.cat","hdl",15,78.95,19
"OAI-PMH","bir.brandeis.edu","hdl",13,76.47,17
"OAI-PMH","catalog.clarin.eu","hdl",129,60.56,213
"OAI-PMH","clarin-pl.eu","hdl",27,48.21,56
"OAI-PMH","www.tdx.cat","md5",3,15.79,19
"OAI-PMH","bir.brandeis.edu","md5",1,5.88,17
"OAI-PMH","catalog.clarin.eu","md5",12,5.63,213
"OAI-PMH","www.lidata.eu","text",23,100.00,23
"OAI-PMH","c3grid1.dkrz.de","text",32,94.12,34
"OAI-PMH","nsidc.org","text",42,89.36,47
"OAI-PMH","oai.datacite.org","text",33,86.84,38
"OAI-PMH","gita.grainger.uiuc.edu","text",17,62.96,27
"OAI-PMH","mercury.ornl.gov","text",30,43.48,69
"OAI-PMH","openknowledge.worldbank.org","text",12,37.50,32
"OAI-PMH","drtc.isibang.ac.in","text",44,26.67,165
"OAI-PMH","oai.narcis.nl","text",141,23.50,600
"OAI-PMH","www.tdx.cat","text",3,15.79,19
"OAI-PMH","archiv.ub.uni-marburg.de","text",1,7.69,13
"OAI-PMH","bir.brandeis.edu","text",1,5.88,17
"OAI-PMH","catalog.clarin.eu","text",8,3.76,213
"OAI-PMH","clarin-pl.eu","text",1,1.79,56
"OAI-PMH","www.openaccessrepository.it","urn",16,100.00,16
"OAI-PMH","www.lidata.eu","urn",23,100.00,23
"OAI-PMH","mercury.ornl.gov","urn",68,98.55,69
"OAI-PMH","oai.datacite.org","urn",37,97.37,38
"OAI-PMH","openknowledge.worldbank.org","urn",31,96.88,32
"OAI-PMH","oai.narcis.nl","urn",580,96.67,600
"OAI-PMH","www.tdx.cat","urn",18,94.74,19
"OAI-PMH","zenodo.org","urn",16,94.12,17
"OAI-PMH","c3grid1.dkrz.de","urn",32,94.12,34
"OAI-PMH","clarin-pl.eu","urn",52,92.86,56
"OAI-PMH","static.data.gouv.fr","urn",13,92.86,14
"OAI-PMH","catalog.clarin.eu","urn",189,88.73,213
"OAI-PMH","archiv.ub.uni-marburg.de","urn",10,76.92,13
"OAI-PMH","bir.brandeis.edu","urn",13,76.47,17
"OAI-PMH","gita.grainger.uiuc.edu","urn",19,70.37,27
"OAI-PMH","www.openaccessrepository.it","uuid",16,100.00,16
"OAI-PMH","www.tdx.cat","uuid",5,26.32,19
"OAI-PMH","oai.narcis.nl","uuid",16,2.67,600
"OAI-PMH","oai.datacite.org","uuid",1,2.63,38
"OAI-PMH","catalog.clarin.eu","uuid",5,2.35,213
"OGC:WCS GetCapabilities","gstore.unm.edu","uuid",40,95.24,42
"OGC:WFS GetCapabilities","mrdata.usgs.gov","cooluri",43,43.43,99
"OGC:WFS GetCapabilities","services.azgs.az.gov","md5",5,10.20,49
"OGC:WFS GetCapabilities","gstore.unm.edu","uuid",81,98.78,82
"OGC:WMS GetCapabilities","geothermal.isgs.illinois.edu","md5",27,42.19,64
"OGC:WMS GetCapabilities","services.azgs.az.gov","md5",7,12.28,57
"OGC:WMS GetCapabilities","resource.sgu.se","text",23,100.00,23
"OGC:WMS GetCapabilities","www.agr.gc.ca","text",11,100.00,11
"OGC:WMS GetCapabilities","webarchive.nationalarchives.gov.uk","text",20,100.00,20
"OGC:WMS GetCapabilities","kars.ku.edu","text",38,100.00,38
"OGC:WMS GetCapabilities","land.discomap.eea.europa.eu","text",14,100.00,14
"OGC:WMS GetCapabilities","mrdata.usgs.gov","text",106,99.07,107
"OGC:WMS GetCapabilities","services.azgs.az.gov","text",56,98.25,57
"OGC:WMS GetCapabilities","www.coast.noaa.gov","text",47,97.92,48
"OGC:WMS GetCapabilities","ecco.jpl.nasa.gov","text",181,97.84,185
"OGC:WMS GetCapabilities","geothermal.isgs.illinois.edu","text",62,96.88,64
"OGC:WMS GetCapabilities","gstore.unm.edu","text",81,96.43,84
"OGC:WMS GetCapabilities","web2.nbmg.unr.edu","text",24,96.00,25
"OGC:WMS GetCapabilities","apps.fs.fed.us","text",21,95.45,22
"OGC:WMS GetCapabilities","discomap.eea.europa.eu","text",15,93.75,16
"OGC:WMS GetCapabilities","gispub10.epa.gov","text",13,92.86,14
"OGC:WMS GetCapabilities","gis.srh.noaa.gov","text",11,91.67,12
"OGC:WMS GetCapabilities","irmaservices.nps.gov","text",30,88.24,34
"OGC:WMS GetCapabilities","gis.chesapeakebay.net","text",10,83.33,12
"OGC:WMS GetCapabilities","maps.ngdc.noaa.gov","text",35,77.78,45
"OGC:WMS GetCapabilities","gis1.usgs.gov","text",14,56.00,25
"OGC:WMS GetCapabilities","www.ncddc.noaa.gov","text",45,53.57,84
"OGC:WMS GetCapabilities","coast.noaa.gov","text",38,50.67,75
"OGC:WMS GetCapabilities","encdirect.noaa.gov","text",11,50.00,22
"OGC:WMS GetCapabilities","coastalmap.marine.usgs.gov","text",10,38.46,26
"OGC:WMS GetCapabilities","geodata.epa.gov","text",6,35.29,17
"OGC:WMS GetCapabilities","egisws02.nos.noaa.gov","text",5,13.16,38
"OGC:WMS GetCapabilities","gispub.epa.gov","text",5,8.77,57
"OGC:WMS GetCapabilities","kars.ku.edu","urn",3,7.89,38
"OGC:WMS GetCapabilities","webarchive.nationalarchives.gov.uk","uuid",20,100.00,20
"OGC:WMS GetCapabilities","resource.sgu.se","uuid",23,100.00,23
"OGC:WMS GetCapabilities","gstore.unm.edu","uuid",81,96.43,84
"OGC:WMS GetCapabilities","www.agr.gc.ca","uuid",8,72.73,11
"OPeNDAP","acdisc.sci.gsfc.nasa.gov","cooluri",7,2.51,279
"OPeNDAP","acdisc.gsfc.nasa.gov","cooluri",5,0.64,785
"OPeNDAP","ladsweb.nascom.nasa.gov","doi",19,42.22,45
"OPeNDAP","acdisc.sci.gsfc.nasa.gov","doi",100,35.84,279
"OPeNDAP","acdisc.gsfc.nasa.gov","doi",4,0.51,785
"OPeNDAP","acdisc.sci.gsfc.nasa.gov","urn",186,66.67,279
"OPeNDAP","disc2.nascom.nasa.gov","urn",80,34.04,235
"OPeNDAP","ladsweb.nascom.nasa.gov","urn",3,6.67,45
"OpenSearch:OpenSearchDescription","weblearn.ox.ac.uk","cooluri",2,15.38,13
"OpenSearch:OpenSearchDescription","ebtc.eu","urn",10,20.00,50
"OpenSearch:OpenSearchDescription","weblearn.ox.ac.uk","uuid",13,100.00,13
"OpenSearch:Resultset","gcmd.nasa.gov","doi",1,1.47,68
"OpenSearch:Resultset","globalchange.nasa.gov","doi",1,1.01,99
"OpenSearch:Resultset","gcmd.gsfc.nasa.gov","doi",1,0.34,293
"OpenSearch:Resultset","www.sciencebase.gov","doi",1,0.30,337
"OpenSearch:Resultset","www.sciencebase.gov","md5",2,0.59,337
"OpenSearch:Resultset","gcmd.gsfc.nasa.gov","text",11,3.75,293
"OpenSearch:Resultset","gcmd.nasa.gov","text",2,2.94,68
"OpenSearch:Resultset","globalchange.nasa.gov","text",1,1.01,99
"OpenSearch:Resultset","portal.oceannet.org","uuid",11,68.75,16
"UNIDATA","gsics.eumetsat.int","cooluri",16,100.00,16
"UNIDATA","coaps.fsu.edu","cooluri",215,97.29,221
"UNIDATA","tds.ucar.edu","cooluri",1298,96.87,1340
"UNIDATA","esrl.noaa.gov","cooluri",30,96.77,31
"UNIDATA","data1.gfdl.noaa.gov","cooluri",5822,95.29,6110
"UNIDATA","opendap.cr.usgs.gov","cooluri",222,95.28,233
"UNIDATA","www.esrl.noaa.gov","cooluri",35,94.59,37
"UNIDATA","dataserver.nccs.nasa.gov","cooluri",145,93.55,155
"UNIDATA","acdisc.sci.gsfc.nasa.gov","cooluri",278,90.85,306
"UNIDATA","verif.rap.ucar.edu","cooluri",33,89.19,37
"UNIDATA","acdisc.gsfc.nasa.gov","cooluri",334,88.59,377
"UNIDATA","stellwagen.er.usgs.gov","cooluri",21,84.00,25
"UNIDATA","disc2.nascom.nasa.gov","cooluri",3050,70.55,4323
"UNIDATA","ecco2.jpl.nasa.gov","cooluri",725,66.82,1085
"UNIDATA","data.boisestate.edu","cooluri",23,63.89,36
"UNIDATA","ferret.pmel.noaa.gov","cooluri",27,61.36,44
"UNIDATA","discnrt1.gesdisc.eosdis.nasa.gov","cooluri",10,40.00,25
"UNIDATA","ghrc.nsstc.nasa.gov","cooluri",13,35.14,37
"UNIDATA","ladsweb.nascom.nasa.gov","cooluri",17,1.50,1134
"UNIDATA","tds.ucar.edu","md5",10,0.75,1340
"UNIDATA","gsics.eumetsat.int","text",16,100.00,16
"UNIDATA","discnrt1.gesdisc.eosdis.nasa.gov","text",25,100.00,25
"UNIDATA","ferret.pmel.noaa.gov","text",44,100.00,44
"UNIDATA","coaps.fsu.edu","text",215,97.29,221
"UNIDATA","data.boisestate.edu","text",35,97.22,36
"UNIDATA","tds.ucar.edu","text",1298,96.87,1340
"UNIDATA","ladsweb.nascom.nasa.gov","text",1098,96.83,1134
"UNIDATA","opendap.cr.usgs.gov","text",225,96.57,233
"UNIDATA","disc2.nascom.nasa.gov","text",4165,96.35,4323
"UNIDATA","ecco2.jpl.nasa.gov","text",1042,96.04,1085
"UNIDATA","acdisc.gsfc.nasa.gov","text",361,95.76,377
"UNIDATA","data1.gfdl.noaa.gov","text",5822,95.29,6110
"UNIDATA","acdisc.sci.gsfc.nasa.gov","text",290,94.77,306
"UNIDATA","ghrc.nsstc.nasa.gov","text",35,94.59,37
"UNIDATA","dataserver.nccs.nasa.gov","text",145,93.55,155
"UNIDATA","esrl.noaa.gov","text",29,93.55,31
"UNIDATA","stellwagen.er.usgs.gov","text",22,88.00,25
"UNIDATA","www.esrl.noaa.gov","text",20,54.05,37
"UNIDATA","verif.rap.ucar.edu","uuid",35,94.59,37
"UNIDATA","www.esrl.noaa.gov","uuid",15,40.54,37
"UNIDATA","esrl.noaa.gov","uuid",2,6.45,31
"UNIDATA","tds.ucar.edu","uuid",9,0.67,1340
