"host","count_w_doi","pct_w_doi","total_responses"
"vmo.gsfc.nasa.gov",1,0.51,198
"ftp.cpc.ncep.noaa.gov",1,0.49,204
"www.nodc.noaa.gov",23,0.48,4833
"www.usgs.gov",9,0.38,2339
"walrus.wr.usgs.gov",34,0.35,9855
"maps.ngdc.noaa.gov",1,0.35,283
"gcmd.gsfc.nasa.gov",1,0.34,295
"open.canada.ca",2,0.33,606
"www.biocatalogue.org",1,0.21,480
"data.gc.ca",2,0.19,1044
"apps.fs.fed.us",1,0.19,519
"mrdata.usgs.gov",2,0.17,1176
"wind.gsfc.nasa.gov",16,0.15,10377
"vwo.gsfc.nasa.gov",1,0.15,683
"www.rc.umd.edu",2,0.13,1592
"www.ncddc.noaa.gov",1,0.10,999
"repository.stategeothermaldata.org",2,0.07,3056
"ferret.pmel.noaa.gov",1,0.05,2151
"search.geothermaldata.org",1,0.02,4764
