"tag","match_type","num"
"GetRecordsResponse/SearchResults/MD_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/identifier/MD_Identifier/code/CharacterString","uuid",14
"GetRecordsResponse/SearchResults/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","uuid",20
"GetRecordsResponse/SearchResults/MD_Metadata/identificationInfo/MD_DataIdentification/extent/EX_Extent/verticalElement/EX_VerticalExtent/verticalCRS/VerticalCRS/identifier/@codeSpace","text",2
"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",18
"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/identifier/MD_Identifier/code/CharacterString","md5",4
"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/@uuidref","uuid",2
"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/statement/CharacterString","uuid",704
"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/statement/CharacterString","urn",30
"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/statement/CharacterString","doi",12
"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/statement/CharacterString","cooluri",4
"MD_Metadata/dataQualityInfo/DQ_DataQuality/report/DQ_DomainConsistency/result/DQ_ConformanceResult/explanation/CharacterString","urn",34
"MD_Metadata/dataQualityInfo/DQ_DataQuality/report/DQ_DomainConsistency/result/DQ_ConformanceResult/specification/@href","urn",3
"MD_Metadata/dataSetURI/CharacterString","text",1282
"MD_Metadata/dataSetURI/CharacterString","doi",10
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/@id","uuid",7857
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/description/CharacterString","doi",11
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/linkage/URL","md5",1629
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/linkage/URL","uuid",300
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/linkage/URL","doi",31
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/linkage/URL","cooluri",14
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/protocol/CharacterString","urn",2
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/@role","urn",6
"MD_Metadata/Esri/MetaID","uuid",9
"MD_Metadata/fileIdentifier/CharacterString","uuid",6171
"MD_Metadata/fileIdentifier/CharacterString","text",1694
"MD_Metadata/fileIdentifier/CharacterString","md5",1058
"MD_Metadata/fileIdentifier/CharacterString","urn",118
"MD_Metadata/hierarchyLevel/MD_ScopeCode","urn",267
"MD_Metadata/identificationInfo/MD_DataIdentification/abstract/CharacterString","md5",59
"MD_Metadata/identificationInfo/MD_DataIdentification/abstract/CharacterString","doi",6
"MD_Metadata/identificationInfo/MD_DataIdentification/abstract/CharacterString","urn",5
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","uuid",1
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/edition/CharacterString","uuid",17
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/CI_Citation/date/CI_Date/date/Date","text",1
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode","text",1
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/CI_Citation/title/CharacterString","text",9
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/@title","text",1
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",1491
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","uuid",35
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/FileName/@src","text",1
