"tag","host","freq_tag_by_response","response_per_host","average_tokens","min_tokens","max_tokens"
"@href","maps.edc.uri.edu",3034,34,1.00,1,1
"@href","maps.devotes.eu",3034,2,2.00,2,2
"@href","maps.communities.gov.uk",3034,1,1.00,1,1
"@href","maps.cera.govt.nz",3034,31,1.00,1,1
"@href","maps.carlisle.gov.uk",3034,1,1.00,1,1
"@href","maps.bristol.gov.uk",3034,1,1.00,1,1
"@href","maps.bolton.gov.uk",3034,1,1.00,1,1
"@href","maps2.dcgis.dc.gov",3034,17,1.00,1,1
"@href","mapping.launceston.tas.gov.au",3034,1,1.00,1,1
"@href","map.gsa.state.al.us",3034,4,1.00,1,1
"@href","mapgateway.snh.gov.uk",3034,1,1.00,1,1
"@href","map.earthchemportal.org",3034,1,1.00,1,1
"@href","map.bgs.ac.uk",3034,3,1.00,1,1
"@href","gis.breconbeacons.org",3034,3,1.00,1,1
"@href","gis.charttools.noaa.gov",3034,3,1.00,1,1
"@href","gis.chesapeakebay.net",3034,12,1.00,1,1
"@href","gis.fema.gov",3034,2,1.00,1,1
"@href","gis.fws.gov",3034,4,1.00,1,1
"@href","gis.indiana.edu",3034,5,1.00,1,1
"@href","gismaps.vita.virginia.gov",3034,5,1.00,1,1
"@href","gis.ngdc.noaa.gov",3034,2,1.00,1,1
"@href","gis.phila.gov",3034,5,1.00,1,1
"@href","limaims.cr.usgs.gov",3034,3,1.00,1,1
"@href","lasigpublic.nerc-lancaster.ac.uk",3034,5,1.00,1,1
"@href","land.discomap.eea.europa.eu",3034,15,1.00,1,1
"@href","kortservice.vejle.dk",3034,2,1.00,1,1
"@href","kgs.uky.edu",3034,3,1.00,1,1
"@href","kartat.lounaispaikka.fi",3034,2,1.00,1,1
"@href","kars.ku.edu",3034,39,1.00,1,1
"@href","irmaservices.nps.gov",3034,51,1.00,1,1
"@href","inspire.wales.gov.uk",3034,1,1.00,1,1
"@href","inspire.redcar-cleveland.gov.uk",3034,2,1.00,1,1
"@href","inspire.oldham.gov.uk",3034,1,1.00,1,1
"@href","inspire.nationalparks.gov.uk",3034,3,1.00,1,1
"@href","inspire.gwynedd.gov.uk",3034,1,1.00,1,1
"@href","imsref.cr.usgs.gov",3034,1,1.00,1,1
"@href","hsip.geoplatform.gov",3034,6,1.00,1,1
"@href","hfrnet.ucsd.edu",3034,1,1.00,1,1
"@href","gstore.unm.edu",3034,208,1.00,1,1
"@href","gmis.jrc.ec.europa.eu",3034,2,1.00,1,1
"@href","gis.wgnhs.org",3034,6,1.00,1,1
"@href","gisweb.unr.edu",3034,1,1.00,1,1
"@href","gis.towerhamlets.gov.uk",3034,1,1.00,1,1
"@href","gistmaps.itos.uga.edu",3034,7,1.00,1,1
"@href","gis.srh.noaa.gov",3034,25,1.00,1,1
"@href","gispub.epa.gov",3034,58,1.00,1,1
"@href","gispub10.epa.gov",3034,14,1.00,1,1
"@href","gisprodweb.ncd.noaa.gov",3034,1,1.00,1,1
"@href","xml2.des.state.nh.us",3034,8,1.00,1,1
"@href","www.webapps.nwfsc.noaa.gov",3034,5,1.00,1,1
"@href","www.usap-data.org",3034,1,1.00,1,1
"@href","www.southampton.gov.uk",3034,1,1.00,1,1
"@href","www.salford.gov.uk",3034,4,1.00,1,1
"@href","www.oregongeology.org",3034,7,1.00,1,1
"@href","www.onegeology.org",3034,1,1.00,1,1
"@href","www.neracoos.org",3034,1,1.00,1,1
"@href","www.ncddc.noaa.gov",3034,107,1.00,1,1
"@href","www.marine-geo.org",3034,4,1.00,1,1
"@href","www.mapasdelapalma.es",3034,1,1.00,1,1
"@href","www.gis.northlincs.gov.uk",3034,1,1.00,1,1
"@href","www.geocommunicator.gov",3034,5,1.00,1,1
"@href","www.geochron.org",3034,2,1.00,1,1
"@href","www.esrl.noaa.gov",3034,18,1.00,1,1
"@href","www.csc.noaa.gov",3034,6,1.00,1,1
"@href","www.coast.noaa.gov",3034,185,1.00,1,1
"@href","www.agr.gc.ca",3034,11,1.00,1,1
"@href","www2.guildford.gov.uk",3034,1,1.00,1,1
"@href","wrecks.nauticalcharts.noaa.gov",3034,5,1.00,1,1
"@href","wms.proto.gina.alaska.edu",3034,1,1.00,1,1
"@href","wms.geo.admin.ch",3034,1,1.00,1,1
"@href","wms.alaskamapped.org",3034,1,1.00,1,1
"@href","wildfire.cr.usgs.gov",3034,6,1.00,1,1
"@href","webservices.npws.ie",3034,1,1.00,1,1
