"host","codelist","count"
"ecco.jpl.nasa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",1029
"ecowatch.ncddc.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",456
"edg.epa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",460
"edgar.jrc.ec.europa.eu","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",2
"edgar.jrc.ec.europa.eu","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode",4
"epa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",4
"ferret.pmel.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",58
"gar.lternet.edu","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",20
"gar.lternet.edu","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",20
"geoport.whoi.edu","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",996
"gisdata.nd.gov","http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode",4
"gsics.eumetsat.int","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",60
"gstore.unm.edu","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",4198
"haitidata.org","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",15
"inport.nmfs.noaa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",3491
"inport.nmfs.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",1552
"joinup.ec.europa.eu","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",170
"locationmde.data.gov.uk","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode",372
"maps.data.ug","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",3
"maps.derby.gov.uk","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",14
"maps.devotes.eu","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",3
