|dc:identifiers|event|link|name|repo|repo_changed|source
76|False|improved the OAI PMH interface|http://archivia.unict.it/dspace-oai/request?verb=Identify|ArchivIA, the institutional repository of Universita di Catania, Italy||False|OpenDOAR
77|False|changed the OAI-PMH basicurl||Publication Server of HTWG Konstanz, Germany,||False|OpenDOAR
78|False|been migrated||The Publication Server of Konrad-Zuse-Zentrum für Informationstechnik Berlin (ZIB)||False|
79|False|changed the OAI-PMH basicurl|http://archiv.ub.uni-heidelberg.de/savifadok/cgi/oai2?verb=Identify|SavifaDok, (Univ. of Heidelberg, Germany)|EPrints|True|OpenDOAR
80|False|migrated||The LASICS OA platform of Univ. Minho, Portugal||False|
81|False|changed the OAI-PMH basicurl||Coffee Science, journal of Universidade Federal de Lavras, Lavras, MG, Brasil,|OJS|False|
82|False|improved the OAI PMH interface|http://dspace.ucuenca.edu.ec/oai/request?verb=Identify|Repositorio de la Universidad de Cuenca, Ecuador||False|
83|False|changed the OAI-PMH basicurl||UIUC CONTENTdm Server Repository, Univ. of Illinois at Urbana-Champaign|ContentDM|False|
84|False|improved the OAI PMH interface|http://dspace.ups.edu.ec/oai/request?verb=Identify|Repositorio Digital Universidad Politécnica Salesiana, Ecuador||False|
85|False|changed the OAI-PMH basicurl||The Dokumentenserver Fakultät für Mathematik und Informatik of Leipzig University, Germany||False|
86|False|changed the OAI-PMH basicurl||acceda of Universidad de Las Palmas de Gran Canaria (ULPGC), Spain|DSpace|False|OpenDOAR
87|False|new registry||Wolfenbütteler Digitale Bibliothek (WDB)||False|
88|False|new registry||ArTeMIS, the open access repository of ISAE, Institut supérieur de l'aéronautique et de l'espace||False|
89|False|new registry||DTA - Deutsches Textarchiv||False|
90|False|changed the OAI-PMH basicurl||T-Space of Univ. of Toronto, Canada|DSpace|False|OpenDOAR
91|False|migrated||Messanae Universitas Studiorum, the institutional repository of University of Messina, Italy||False|
92|False|changed the OAI-PMH basicurl||TamPub, the repository of University of Tampere, Finland|DSpace|False|OpenDOAR
93|False|changed the OAI-PMH basicurl||oURspace of Univ. of Regina, Canada|DSpace|False|OpenDOAR
94|False|new registry||HSR - Institutional Repository , Hochschule für Technik, Rappperswil, Switzerland.|EPrints|False|
95|False|changed the OAI-PMH basicurl|http://archiv.ub.uni-heidelberg.de/propylaeumdok/cgi/oai2?verb=Identify|Propylaeum-DOK (Univ. of Heidelberg, Germany)|EPrints|True|OpenDOAR
96|False|new registry||ORBilu, Univ. of Luxembourg|DSpace|False|
97|False|new registry||ELBA, Electronic BASt Archive||False|
98|False|improved the OAI-PMH interface||Toyo University Repository for Academic Resources||False|
99|False|changed the OAI-PMH basicurl|http://ir.chna.edu.tw/ir-oai/request?verb=Identify|Chia Nan University of Pharmacy & Science Institutional Repository||False|
100|False|new registry|http://digilib.lib.unipi.gr/dspace-oai/request?verb=Identify|Διώνη of Univ. of Piraeus, Greece|DSpace|False|OpenDOAR
101|False|changed the OAI-PMH basicurl||FortWorks||False|OpenDOAR
102|False|changed the OAI-PMH basicurl||Heriot-Watt University's institutional repository|DSpace|False|
103|False|new registry|http://opus.bsz-bw.de/fhk/oai2/oai2.php?verb=Identify|Cologne Open Science of Cologne University of Applied Sciences|OPUS 33|False|
104|False|changed the OAI-PMH basicurl||oops|EPrints|True|OpenDOAR
105|False|new registry|http://publicatio.bibl.u-szeged.hu/cgi/oai2 ?verb=Identify|SZTE Repository of Publications, Szeged Univ., Hungary|EPrints|False|
106|False|changed the OAI-PMH basicurl||University of Calgary Institutional Repository, Canada|DSpace|False|OpenDOAR
107|False|changed the OAI-PMH basicurl||gei.digital|Goobi|False|
108|False|been migrated||ETH E-Collection||False|OpenDOAR
109|False|been migrated|http://archiv.ub.uni-heidelberg.de/volltextserver/cgi/oai2?verb=Identify|HeiDOK, the repository of Heidelberg University, Germany|Eprints|True|OpenDOAR
110|False|changed the OAI-PMH basicurl|http://bibliodigital.itcr.ac.cr:8080/oai/request?verb=Identify|Repositorio Tec, the repositorio of Instituto Tecnológico de Costa Rica||False|OpenDOAR
111|False||http://www.ejournal.sedinst.com/index.php/index/oai?verb=Identify|New OA journal platform: SEDinst International Journals, The Science and Education Development Institutea||False|
112|False|new registry|http://doktori.bibl.u-szeged.hu/cgi/oai2?verb=Identify|SZTE Repository of Dissertations, Szeged Univ., Hungary|EPrints|False|
113|False|new registry|http://esource.dbs.ie/oai/request?verb=Identify|DBS Esource (Dublin Business School)|DSpace|False|OpenDOAR
114|False|changed the OAI-PMH basicurl again||National Chin-Yi University Institutional Repository||False|OpenDOAR
115|False||http://jorl.net/index.php/index/oai?verb=Identify|New OA Journal: Otolaryngology online journal||False|
116|False|repaired the OAI-PMH interface||WHOAS||False|
117|False|changed the basicurl||The Social Science Open Access Repository (SSOAR)|DSpace|False|OpenDOAR
118|False|improved the OAI-PMH interface||The University of Jos Institutional Repository||False|OpenDOAR
119|False|changed the OAI-PMH basicurl||Massey Research Online, Massey Univ, New Zealand|DSpace|False|OpenDOAR
120|False|changed the OAI-PMH basicurl||ALADIN Research Commons (ALADIN)|DSpache|False|
121|False|optimized its OAI-PMH interface||Biblioteca digital da UniPiaget||False|OpenDOAR
122|False|new registry|http://library.vlt.is/cgi/oai2?verb=Identify|UArctic Library|Eprints 327|False|
123|False|new registry|http://ori-repository.univ-lorraine.fr/OAIHandler?verb=Identify|PETALE (Publications Et Travaux Académiques de LorrainE)||False|
124|False|optimized the OAI-PMH interface||The PolyU Institutional Repository (PolyU IR)||False|
125|False|migrated to Publikationer Luleå Tekniska Universitet||The repository of Lulea Technical University||False|
126|False|new registry||AlmaDL Journals|OJS|False|
127|False|activated the OAI-PMH interface now|http://hydra-oai-pmh.hull.ac.uk/?verb=Identify|Hydra, the repository of Hull Univ.,||False|
128|False|upgraded the OAI-PMH interface||res doctae, the repository of Akademie der Wissenschaften, Göttingen||False|
129|False|new registry|http://contentdm.ub.uni-koeln.de/oai?verb=Identify|Digitale Sammlungen der Universität zu Köln||False|
130|False|migrated the OAI-PMH basicurl||University of Lethbridge Institutional Repository||False|
131|False|changed the OAI-PMH basicurl||National Chin-Yi University Institutional Repository||False|
132|False|new registry||KiDokS - Kirchlicher DokumentenServer der AKThB und des VkwB, Germany|the OPUS repository software|False|
133|False|new registry||PIK Publications of Potsdam Institute for Climate Impact Research, Germany||False|
134|False|been migrated||The Nemertes repository (Univ. of Patras, Greece)||False|
135|False|changed the OAI-PMH basicurl||AUSpace of Athabasca Univ.||False|
136|False|new registry||ART - TORVERGATA OA of Università degli Studi di Roma Tor Vergata||False|
137|False|migrated and changed the OAI-PMH basicurl||MADOC of Univ. Mannheim||False|
138|False|been migrated||NCSU Institutional Repository|DSpace|False|
139|False|modified the OAI-PMH basicurl||DSpace Universidad de Talca, Chile||False|
140|False|||The Caltech Environmental Quality Laboratory Technical Reports have abondened their OAI-PMH interface||False|
141|False|||UJDigispace of Univ. Johannesburg changed the OAI-PMH basicurl||False|
142|False|new registry||Sophiahemmet University College Publications||False|
143|False|||OA repository Linnaeus University Publications re-organized||False|
144|False|new registry|http://www.bundesarchiv.de/aktenreichskanzlei/1919-1933/connect/oairepos_all.xml?verb=Identify|Akten der Reichskanzlei. Weimarer Republik, Bundesarchiv, Germany||False|
145|False|new registry|http://orka.bibliothek.uni-kassel.de/oai?verb=Identify|ORKA - Open Repository Kassel||False|
146|False|modified the OAI.PMH interface||Villanova University Digital Library||False|
147|False|changed the OAI-PMH basicurl||National Chiao Tung University Institutional Repository||False|
148|False|improved its OAI-PMH interface||The Doshisha University Academic Repository||False|
149|False|new registry||HUPS - Hochschule Ulm Publikationsserver||False|
150|False|adopted the OAI-PMH basicurl||Institutional Repository at University of Zimbabwe||False|
151|False|changed the OAI-PMH basicurl||Strathprints: The University of Strathclyde institutional repository||False|
152|False|moved to DigitalCommons@EMU||Eastern Michigan University Repository||False|
153|False|updated the DSpace system||Scholarly Materials And Research@Georgia Tech (SMARTech)||False|
154|False|modified the OAI-PMH basicurl||Bristol Repository of Scholarly Eprints (ROSE)||False|
155|False|migrated||DSpace@Universidad de los Andes||False|
156|False|||Brandeis University Digital Collections have moved to Brandeis Institutional Repository||False|
157|False|been migrated||The Hosei University Repository||False|
158|False|been migrated|http://dspace.smu.ac.uk/oai/request?verb=Identify|The repository at Swansea Metropolitan University||False|
159|False|moved to Central Connecticut State University Digital Collections||Central Connecticut State University Digital Archive||False|
160|False|moved to LoboVault||DSpaceUNM||False|
161|False|moved to UKnowledge||Univ. of Kentucky Archive.uky.edu||False|
162|False|migrated to the Minority Health and Health Equity Archive||Minority Health Archive||False|
163|False|changed the basicurl||National Taiwan University of Science and Technology Institutional Repository||False|
164|False|improved the metadata quality||eEast-UkrNUIR||False|
165|False|migrated the basicurl||La Biblioteca Virtual de Andalucía||False|
166|False|migrated the basicurl||eArchives of Indiana University - Purdue University, Indianapolis||False|
167|False|migrated||DSpace＠Kanagawa Institute of Technology (Japan)||False|
168|False|changed the OAI-PMH basicurl|http://vtext.valdosta.edu:8080/oai/request?verb=Identify|Vtext Digital Repository||False|
169|False|changed the OAI-PMH basicurl||TEGRA of Universad de la Salle, Colombia||False|
170|False|changed the OAI-PMH basicurl||MSpace at the University of Manitoba||False|
171|False|changed the OAI-PMH basicurl||Institutional Repository @ BRAC University|DSpace|False|
172|False|new registry||eSport of German Sport University Cologne|EPrints|False|
173|False|switched the basicurl||DSpace at University Leiden||False|
174|False|changed the basicurl||Bayerische Staatsbibliothek München: Digitale Sammlungen||False|
175|False|changed the basicurl||NPUE IR of National Pingtung University of Education (NPUE), Taiwan|DSpace|False|
176|False|moved||Queensland DPI&F eResearch Archive (eRA)|EPrints 313|False|
177|False|modified the OAI-PMH basicurl||Malmö University Electronic Publishing (MUEP)||False|
178|False|||OAI-PMH interface available for Publications from Karolinska Institutet|DSpace|True|
179|False|new registry||OPUS - Online-Publikations-Server der Hochschule Osnabrück, Germany||False|
180|False|switched the basicurl||E-Dissertationen der Universität Hamburg||False|OpenDOAR
181|False|new registry||RODIN, Object Repository for Teaching and Research at the University of Cadiz|DSpace and delivers currently around 4100 metadata records|False|
182|False|||Norwegian Brage repositoires with improved OAI-PMH interface||False|
183|False|new registry|http://oar.marine.ie/oai/request?verb=Identify|Marine Institute Open Access Repository, Galway, Ireland||False|
184|False|changed its urls||Taiwan Theological College & Seminary Digital Repository|DSpace|False|
185|False|new registry||USFSP Digital Archive (University of South Florida St. Petersburg)|DSpace|False|
