"id","age","protocol","num_lineage_tokens","num_lineage_elements"
602572,"2014-05-01","""ISO""",12,2
720189,"2015-06-01","""ISO""",12,2
777712,"2014-08-01","""ISO""",76,2
344120,"2015-05-01","""ISO""",433,2
622256,"2015-05-01","""ISO""",582,2
792446,"2009-07-01","""ISO""",7,2
714914,"","""ISO""",571,2
181762,"2014-11-01","""ISO""",150,2
170766,"2014-06-01","""ISO""",60,2
752290,"2015-06-01","""ISO""",12,2
253479,"2015-04-01","""ISO""",796,2
683709,"2015-04-01","""ISO""",890,2
676971,"2015-05-01","""ISO""",422,2
722258,"2013-12-01","""ISO""",352,2
383900,"2015-08-01","""ISO""",217,2
619336,"2015-06-01","""ISO""",12,2
265665,"2015-04-01","""ISO""",308,2
514003,"2015-04-01","""ISO""",476,2
439928,"2015-06-01","""ISO""",27,2
478556,"2015-07-01","""ISO""",455,2
290319,"2015-06-01","""ISO""",12,2
660401,"2015-04-01","""ISO""",469,2
650764,"2015-06-01","""ISO""",33,2
762388,"2015-06-01","""ISO""",16,2
529275,"2015-06-01","""ISO""",33,2
477960,"2015-06-01","""ISO""",43,2
336410,"2015-04-01","""ISO""",52,2
647903,"2015-06-01","""ISO""",119,2
479212,"2015-06-01","""ISO""",12,2
627678,"2014-07-01","""ISO""",3,2
616442,"2014-05-01","""ISO""",101,2
671409,"2015-04-01","""ISO""",795,2
194806,"2015-06-01","""ISO""",279,2
350522,"2015-04-01","""ISO""",1033,2
387215,"2014-10-01","""ISO""",8,2
223381,"2015-04-01","""ISO""",715,2
441410,"2015-04-01","""ISO""",101,2
707009,"","""ISO""",76,2
146535,"2015-06-01","""ISO""",12,2
366158,"2015-08-01","""ISO""",217,2
367436,"","""ISO""",76,2
544677,"2015-06-01","""ISO""",69,2
725447,"2015-06-01","""ISO""",227,2
457022,"2014-05-01","""ISO""",12,2
319480,"2015-04-01","""ISO""",336,2
775354,"2014-07-01","""ISO""",119,2
297790,"2015-08-01","""ISO""",94,2
649962,"2014-06-01","""ISO""",47,2
570935,"2014-10-01","""ISO""",13,2
225391,"2015-06-01","""ISO""",25,2
352596,"2015-06-01","""ISO""",13,2
461281,"2015-07-01","""ISO""",129,2
278603,"2014-07-01","""ISO""",3,2
524638,"2015-06-01","""ISO""",12,2
752379,"2014-06-01","""ISO""",55,2
208659,"2014-06-01","""ISO""",219,2
416722,"2014-07-01","""ISO""",3,2
448743,"2015-04-01","""ISO""",52,2
195668,"2015-04-01","""ISO""",984,2
