"status","count","initial_harvest_date"
200,60,"2015-08-10"
999,2,"2015-08-10"
200,90,"2015-08-11"
302,1,"2015-08-11"
999,2,"2015-08-11"
200,121,"2015-08-12"
302,1,"2015-08-12"
403,1,"2015-08-12"
999,2,"2015-08-12"
200,70,"2015-08-13"
301,1,"2015-08-13"
404,1,"2015-08-13"
500,1,"2015-08-13"
999,2,"2015-08-13"
200,34,"2015-08-14"
500,1,"2015-08-14"
200,37,"2015-09-02"
302,2,"2015-09-02"
500,1,"2015-09-02"
999,10,"2015-09-02"
200,23,"2015-09-03"
999,1,"2015-09-03"
200,17,"2015-09-04"
500,2,"2015-09-04"
200,24,"2015-09-06"
500,1,"2015-09-06"
999,1,"2015-09-06"
200,53,"2015-09-07"
301,1,"2015-09-07"
302,1,"2015-09-07"
500,2,"2015-09-07"
502,1,"2015-09-07"
521,1,"2015-09-07"
522,2,"2015-09-07"
999,10,"2015-09-07"
200,45,"2015-09-08"
302,1,"2015-09-08"
404,1,"2015-09-08"
500,1,"2015-09-08"
999,6,"2015-09-08"
200,21,"2015-09-09"
301,1,"2015-09-09"
303,1,"2015-09-09"
999,3,"2015-09-09"
200,133,"2015-09-10"
302,2,"2015-09-10"
999,11,"2015-09-10"
200,33,"2015-09-11"
301,1,"2015-09-11"
302,1,"2015-09-11"
999,2,"2015-09-11"
200,39,"2015-09-12"
200,8,"2015-09-13"
200,30,"2015-09-14"
301,1,"2015-09-14"
302,1,"2015-09-14"
200,17,"2015-09-15"
401,1,"2015-09-15"
200,14,"2015-09-16"
200,8,"2015-09-17"
999,1,"2015-09-17"
200,3,"2015-09-18"
999,2,"2015-09-18"
200,2,"2015-09-19"
200,4,"2015-09-20"
200,1,"2015-09-22"
999,1,"2015-09-22"
200,1,"2015-09-23"
