"xpath";"codelist_value";"count"
"MI_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/citedResponsibleParty";"custodian";15424
"MI_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/citedResponsibleParty";"publisher";116
"MI_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/citedResponsibleParty";"resourceProvider";1098
"MI_Metadata/identificationInfo/MD_DataIdentification/extent/EX_Extent/geographicElement/EX_GeographicDescription/geographicIdentifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty";"originator";2
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"INVALID ROLE CODE";1
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"NONE";167
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"author";1
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"chiefScientist";9
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"custodian";2
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"originator";65
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"pointOfContact";7900
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"pointofContact";23
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"principalInvestigator";220
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"processor";5
"MI_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"publisher";10
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceMaintenance/MD_MaintenanceInformation/contact";"originator";1
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceMaintenance/MD_MaintenanceInformation/contact";"pointOfContact";1
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceMaintenance/MD_MaintenanceInformation/contact";"principalInvestigator";3
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceSpecificUsage/MD_Usage/userContactInfo";"INVALID ROLE CODE";2
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceSpecificUsage/MD_Usage/userContactInfo";"pointOfContact";4
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceSpecificUsage/MD_Usage/userContactInfo";"principalInvestigator";8
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceSpecificUsage/MD_Usage/userContactInfo";"user";48
"MI_Metadata/identificationInfo/MD_DataIdentification/taxonomy/MD_TaxonSys/classSys/CI_Citation/citedResponsibleParty";"originator";5
"MI_Metadata/identificationInfo/MD_DataIdentification/taxonomy/MD_TaxonSys/classSys/CI_Citation/citedResponsibleParty";"publisher";1
"MI_Metadata/identificationInfo/MD_DataIdentification/taxonomy/MD_TaxonSys/idref/RS_Identifier/authority/CI_Citation/citedResponsibleParty";"resourceProvider";2
"MI_Metadata/identificationInfo/MD_DataIdentification/taxonomy/MD_TaxonSys/obs";"pointOfContact";1
"MI_Metadata/identificationInfo/MD_DataIdentification/taxonomy/MD_TaxonSys/obs";"principalInvestigator";1
"MI_Metadata/identificationInfo/MD_DataIdentification/taxonomy/MD_TaxonSys/obs";"resourceProvider";2
"MI_Metadata/identificationInfo/MD_DataIdentification/taxonomy/MD_TaxonSys/voucher/MD_Vouchers/reposit";"publisher";1
"MI_Metadata/identificationInfo/SDN_DataIdentification/citation/CI_Citation/citedResponsibleParty";"originator";2
"MI_Metadata/identificationInfo/SDN_DataIdentification/pointOfContact";"pointOfContact";2
"MI_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty";"Coordinator; NOAA Coral Reef Watch";8
"MI_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty";"Creator of DEM from various sources";5
"MI_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty";"Project Investigator";210
"MI_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty";"contributor";1046
"MI_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty";"distributor";378
"MI_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty";"originator";4382
"MI_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty";"publisher";518
"MI_Metadata/identificationInfo/SV_ServiceIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/citedResponsibleParty";"custodian";356
"MI_Metadata/identificationInfo/SV_ServiceIdentification/pointOfContact";"pointOfContact";178
"MI_Metadata/metadataExtensionInfo/MD_MetadataExtensionInformation/extendedElementInformation/MD_ExtendedElementInformation/source";"resourceProvider";4
"MI_Metadata/metadataMaintenance/MD_MaintenanceInformation/contact";"author";1
"MI_Metadata/metadataMaintenance/MD_MaintenanceInformation/contact";"custodian";1031
"MI_Metadata/metadataMaintenance/MD_MaintenanceInformation/contact";"originator";47
"MI_Metadata/metadataMaintenance/MD_MaintenanceInformation/contact";"pointOfContact";4997
"MI_Metadata/metadataMaintenance/MD_MaintenanceInformation/contact";"principalInvestigator";6
"MI_Metadata/referenceSystemInfo/MD_ReferenceSystem/referenceSystemIdentifier/RS_Identifier/authority/CI_Citation/citedResponsibleParty";"custodian";14
"MI_Metadata/referenceSystemInfo/MD_ReferenceSystem/referenceSystemIdentifier/RS_Identifier/authority/CI_Citation/citedResponsibleParty";"publisher";1220
"MI_Metadata/referenceSystemInfo/MD_ReferenceSystem/referenceSystemIdentifier/RS_Identifier/authority/CI_Citation/citedResponsibleParty";"resourceProvider";2029
"OAI-PMH/GetRecord/record/metadata/MD_Metadata/contact";"author";405
"OAI-PMH/GetRecord/record/metadata/MD_Metadata/contact";"originator";31
"OAI-PMH/GetRecord/record/metadata/MD_Metadata/contact";"pointOfContact";289
"OAI-PMH/GetRecord/record/metadata/MD_Metadata/contact";"principalInvestigator";44
"OAI-PMH/GetRecord/record/metadata/MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/citedResponsibleParty";"originator";31
"OAI-PMH/GetRecord/record/metadata/MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"author";405
"OAI-PMH/GetRecord/record/metadata/MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"pointOfContact";289
"OAI-PMH/GetRecord/record/metadata/MD_Metadata/identificationInfo/MD_DataIdentification/pointOfContact";"principalInvestigator";44
