"codelist";"codelist_value";"count"
"http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml#CI_RoleCode";"originator";57
"http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml#CI_RoleCode";"pointOfContact";57
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmx Codelists.xml#CI_RoleCode";"author";2
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmx Codelists.xml#CI_RoleCode";"owner";2
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmx Codelists.xml#CI_RoleCode";"pointOfContact";4
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmx Codelists.xml#CI_RoleCode";"resourceProvider";2
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"author";583
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"custodian";164
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"distributor";152
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"originator";32
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"owner";93
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"pointOfContact";2351
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"principalInvestigator";11
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"processor";48
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"publisher";121
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"resourceProvider";131
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode";"user";25
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#MD_ScopeCode";"pointOfContact";1
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"Originator";6
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"author";1455
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"ceda_officer";802
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"curator";836
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"custodian";1408
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"distributer";836
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"distributor";6711
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"funder";1
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"metadata_owner";836
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"originator";2310
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"pointOfContact";2871
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"point_of_contact";836
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"principalInvestigator";7
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"publisher";836
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"user";8
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode";"NONE";1
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode";"author";2
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode";"custodian";18
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode";"distributor";40
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode";"originator";6
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode";"owner";69
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode";"pointOfContact";338
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode";"publisher";57
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode";"resourceProvider";5
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/gmxCodelists.xml#CI_RoleCode";"custodian";176
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/gmxCodelists.xml#CI_RoleCode";"distributor";201
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/gmxCodelists.xml#CI_RoleCode";"originator";30
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/gmxCodelists.xml#CI_RoleCode";"owner";2
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/gmxCodelists.xml#CI_RoleCode";"pointOfContact";180
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/gmxCodelists.xml#CI_RoleCode";"processor";2
"http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/gmxCodelists.xml#CI_RoleCode";"user";4
"http://vocab.nerc.ac.uk/isoCodelists/sdnCodelists/gmxCodeLists.xml#CI_RoleCode";"custodian";2
"http://vocab.nerc.ac.uk/isoCodelists/sdnCodelists/gmxCodeLists.xml#CI_RoleCode";"distributor";2
"http://vocab.nerc.ac.uk/isoCodelists/sdnCodelists/gmxCodeLists.xml#CI_RoleCode";"originator";12
"http://vocab.nerc.ac.uk/isoCodelists/sdnCodelists/gmxCodeLists.xml#CI_RoleCode";"pointOfContact";5
"http://vocab.nerc.ac.uk/isoCodelists/sdnCodelists/gmxCodeLists.xml#CI_RoleCode";"principalInvestigator";7
"http://webarchive.nationalarchives.gov.uk/20130402145952/http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"distributor";18
"http://webarchive.nationalarchives.gov.uk/20130402145952/http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"pointOfContact";8
"http://wis.wmo.int/2006/catalogues/gmxCodelists.xml#CI_RoleCode";"author";810
"http://wis.wmo.int/2006/catalogues/gmxCodelists.xml#CI_RoleCode";"originator";62
"http://wis.wmo.int/2006/catalogues/gmxCodelists.xml#CI_RoleCode";"pointOfContact";578
"http://wis.wmo.int/2006/catalogues/gmxCodelists.xml#CI_RoleCode";"principalInvestigator";88
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"INVALID ROLE CODE";7
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"NONE";2
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"Originator";20
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"author";332
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"chiefScientist";25
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"collaborator";34
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"custodian";4034
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"distributor";8419
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"distributor ";5
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"editor";2
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"originator";3820
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"owner";5315
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"pointOfContact";6753
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"pointofContact";72
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"principalInvestigator";419
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"processor";659
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"publisher";1561
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"resourceProvider";7740
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode ";"distributor ";2
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"NONE";350
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"custodian";184
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"distributor";430
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"originator";728
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"pointOfContact";2207
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"processor";31
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"publisher";4
"http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"user";48
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"NONE";21
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"author";2
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"custodian";8
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"distributor";12
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"originator";186
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"owner";7
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"pointOfContact";333
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"processor";20
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"publisher";51
"http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode";"resourceProvider";1
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"CF compliant and merge with ERAI ocean data for Earth2Observe project";1
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"Coordinator; NOAA Coral Reef Watch";10
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"Creator of DEM from various sources";6
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"Project Investigator";315
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"author";240
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"collaborator";155
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"custodian";16258
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"distirbutor";6
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"distributor";5413
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"institution";1
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"originator";26539
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"owner";8
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"pointOfContact";14957
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"principalInvestigator";84
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"processor";3031
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"publisher";11152
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"resourceProvider";5272
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"sponsor";97
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"contributor";1528
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"distributor";1077
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"originator";3646
"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode";"pointOfContact";2148
"http://www.rijkswaterstaat.nl/apps/geoservices/help/metadata/customCodelists.xml#CI_RoleCode";"user";2
"https://www.sciencebase.gov/vocab/category/4f4e475ce4b07f02db47de84";"Point Of Contact";2
"sponsor";"NONE";11
"www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"pointOfContact";6
