"id","age","min","num_lineage_tokens","num_lineage_elements","num_quality_tokens","num_quality_elements"
139524,"2012-10-01","""ISO""",,0,28,2
139530,"2014-12-01","""FGDC""",935,10,842,10
139538,"2009-05-01","""FGDC""",48,2,17,2
139540,"1998-10-01","""FGDC""",1887,3,167,3
139556,"2012-03-01","""FGDC""",560,5,21,5
139588,"2012-12-01","""FGDC""",1887,3,167,3
139592,"2014-10-01","""ISO""",5,1,,0
139599,"2014-12-01","""FGDC""",345,10,580,10
139610,"2010-11-01","""FGDC""",400,2,41,2
139616,"2010-07-01","""FGDC""",1887,3,167,3
139638,"2015-06-01","""FGDC""",24,4,4,4
139696,"2014-02-01","""ISO""",,0,2,2
139709,"1998-07-01","""ISO""",,0,,0
139711,"2015-08-01","""ISO""",6,1,,0
139720,"2015-10-01","""FGDC""",2905,5,158,5
139744,"2011-12-01","""FGDC""",2115,3,167,3
139748,"2014-07-01","""FGDC""",,0,,0
139749,"1997-10-01","""FGDC""",96,8,380,8
139784,"2013-11-01","""ISO""",41,1,22,1
139792,"2005-11-01","""FGDC""",1905,3,167,3
139800,"2004-04-01","""FGDC""",1360,8,1326,8
139805,"2008-05-01","""FGDC""",12,6,70,6
139834,"2006-07-01","""FGDC""",366,3,36,3
139847,"2010-06-01","""FGDC""",2,1,,0
139857,"2010-08-01","""FGDC""",18,2,163,2
139879,"2013-02-01","""ISO""",,0,,0
139900,"2015-01-01","""FGDC""",,0,,0
139904,"2005-04-01","""FGDC""",4,2,,0
139926,"2015-06-01","""ISO""",88,1,,0
139932,"2010-06-01","""ISO""",,0,2,2
139945,"","""ISO""",,0,,0
139957,"","""ISO""",9,1,,0
139980,"2010-12-01","""FGDC""",1887,3,167,3
139988,"","""ISO""",1,1,,0
139989,"2015-07-01","""FGDC""",4,4,4,4
140002,"2012-10-01","""FGDC""",1887,3,167,3
140017,"2012-06-01","""ISO""",,0,44,2
140031,"2003-10-01","""FGDC""",1415,5,130,5
140078,"2011-07-01","""FGDC""",146,2,256,2
140085,"2015-08-01","""FGDC""",,0,,0
140121,"2011-07-01","""FGDC""",610,10,414,10
140128,"","""ISO""",59,1,,0
140163,"2010-01-01","""FGDC""",18,9,15,9
140174,"1999-02-01","""FGDC""",699,3,6,3
140184,"2014-03-01","""ISO""",,0,,0
140186,"2015-10-01","""FGDC""",2905,5,158,5
140195,"2014-08-01","""ISO""",121,1,,0
140204,"2013-02-01","""FGDC""",,0,1,1
140207,"2015-08-01","""FGDC""",60,8,8,8
140208,"2011-03-01","""FGDC""",350,5,891,5
140229,"2011-12-01","""FGDC""",1887,3,167,3
140236,"2012-11-01","""FGDC""",1528,8,128,8
140257,"2015-10-01","""FGDC""",2905,5,158,5
140260,"2012-07-01","""ISO""",,0,,0
140261,"2012-04-01","""FGDC""",1863,9,768,9
140263,"2013-11-01","""ISO""",41,1,22,1
