"id","age","protocol","num_lineage_tokens","num_lineage_elements"
495334,"2004-01-01","""FGDC""",1576,15
695113,"2014-01-01","""FGDC""",675,15
184099,"2014-01-01","""FGDC""",1208,15
715702,"2014-01-01","""FGDC""",675,15
653789,"2011-01-01","""FGDC""",30,15
737336,"2010-01-01","""FGDC""",30,15
261422,"2015-01-01","""FGDC""",688,15
761052,"2010-01-01","""FGDC""",30,15
320428,"2010-01-01","""FGDC""",105,15
316757,"2012-01-01","""FGDC""",941,15
258923,"2014-01-01","""FGDC""",2650,15
777977,"2011-01-01","""FGDC""",1065,14
335764,"2005-01-01","""FGDC""",732,14
277816,"2010-01-01","""FGDC""",28,14
686216,"2010-01-01","""FGDC""",28,14
543626,"2007-01-01","""FGDC""",28,14
564937,"2007-01-01","""FGDC""",28,14
252911,"2007-01-01","""FGDC""",28,14
194474,"2011-01-01","""FGDC""",471,14
397598,"2007-01-01","""FGDC""",28,14
310203,"2008-01-01","""FGDC""",958,14
474723,"2010-01-01","""FGDC""",28,14
199316,"2007-01-01","""FGDC""",28,14
188294,"2007-01-01","""FGDC""",28,14
314950,"2011-01-01","""FGDC""",471,14
158829,"2008-01-01","""FGDC""",1249,14
760011,"2007-01-01","""FGDC""",28,14
747519,"2005-01-01","""FGDC""",726,14
804898,"2010-01-01","""FGDC""",77,14
476714,"2011-01-01","""FGDC""",28,14
367683,"2005-01-01","""FGDC""",728,14
324893,"2011-01-01","""FGDC""",3907,14
463970,"2007-01-01","""FGDC""",28,14
519305,"2011-01-01","""FGDC""",1065,14
397186,"2007-01-01","""FGDC""",28,14
315477,"2011-01-01","""FGDC""",1065,14
771919,"2015-01-01","""FGDC""",1554,14
329989,"2007-01-01","""FGDC""",28,14
216291,"2007-01-01","""FGDC""",28,14
548150,"2010-01-01","""FGDC""",28,14
665982,"2005-01-01","""FGDC""",726,14
618163,"2010-01-01","""FGDC""",26,13
517951,"2011-01-01","""FGDC""",2545,13
274152,"1998-01-01","""FGDC""",106,13
756006,"2007-01-01","""FGDC""",26,13
337850,"2015-01-01","""FGDC""",174,13
607766,"2005-01-01","""FGDC""",770,13
518663,"2007-01-01","""FGDC""",26,13
774317,"2010-01-01","""FGDC""",1154,13
237787,"2007-01-01","""FGDC""",26,13
164614,"2015-01-01","""FGDC""",1487,13
675997,"2007-01-01","""FGDC""",26,13
286977,"2010-01-01","""FGDC""",26,13
256569,"2012-01-01","""FGDC""",26,13
210083,"2007-01-01","""FGDC""",26,13
555909,"2007-01-01","""FGDC""",26,13
